,CMC surface tension/10−5 M,CMC fluorescence/10−5 M,I1/I3,CMC surface tension M,CMC fluorescence M,pCMC surface tension M,pCMC fluorescence M,code,γcmc (mN m−1),Πcmc (mN m−1),pC20,Γmax (μmol m−2),Αmin (Å2),CMC/C20,ΔG0m (kJ/mol),ΔGa0ds (kJ/mol),SMILES
Si3-PG,12.5,12.6,1.32,0.000125,0.000126,3.90308998699194,3.89962945488244,Si3-PG,25.2,47.3,5.69,2.78,59.7,61.7,−32.2,−49.2,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(C)C
Et-Si3-PG,8.12,8.13,1.55,8.12e-05,8.13e-05,4.09044397075882,4.08990945440593,Et-Si3-PG,27.9,44.6,5.81,2.42,68.6,52.4,−33.2,−51.7,CC[Si](C)(C)CCCSCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO
Pro-Si3-PG,7.24,7.24,1.19,7.24e-05,7.24e-05,4.14026143380285,4.14026143380285,Pro-Si3-PG,30.4,42.1,5.76,2.16,76.9,41.7,−33.5,−53.1,CCC[Si](C)(C)CCCSCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO
But-Si3-PG,6.46,6.45,1.2,6.46e-05,6.45e-05,4.18976748200492,4.19044028536473,But-Si3-PG,37.9,34.6,5.42,1.99,83.5,16.9,−33.8,−51.2,CCCC[Si](C)(C)CCCSCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO
Et2-Si3-PG,7.08,7.07,1.45,7.08e-05,7.07e-05,4.14996674231023,4.1505805862031,Et2-Si3-PG,39.8,32.7,5.28,1.98,83.6,13.5,−33.6,−50.1,CC[Si](C)(CC)CCCSCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO
Et3-Si3-PG,6.61,6.61,1.35,6.61e-05,6.61e-05,4.17979854051436,4.17979854051436,Et3-Si3-PG,41.6,30.9,5.11,1.86,89.3,8.5,−33.7,−50.4,CC[Si](CC)(CC)CCCSCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO
Si4-PG,9.33,9.33,1.25,9.33e-05,9.33e-05,4.0301183562535,4.0301183562535,Si4-PG,22.1,50.4,5.87,2.46,67.5,69.2,−32.9,−53.4,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C
