identifier,Temp_Celsius,CMC,AW_ST_CMC,SMILES,source_doi,reference_doi,method,Molecular_Weight,InChI,pCMC
HBP,23,5.5e-05,38.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccccc1.[Na+],10.1021/ja00075a025,,tensiometry,434.5330000000001,"InChI=1S/C23H41O4P.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-21-26-28(24,25)27-22-23-19-16-15-17-20-23;/h15-17,19-20H,2-14,18,21-22H2,1H3,(H,24,25);/q;+1/p-1",4.259637310505756
B-12,23,0.00063,41.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+],10.1021/ja00075a025,,tensiometry,757.8819999999998,"InChI=1S/C40H66O8P2.Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);/q;+1/p-2/b24-23+;",3.2006594505464183
B-12,23,0.00027,46.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,780.8719999999998,"InChI=1S/C40H66O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2/b24-23+;;",3.5686362358410126
B-12,50,0.00011,38.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,780.8719999999998,"InChI=1S/C40H66O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2/b24-23+;;",3.958607314841775
B-12,50,0.00012,45.0,CCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,780.8719999999998,"InChI=1S/C40H66O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-33-45-49(41,42)47-35-39-29-25-37(26-30-39)23-24-38-27-31-40(32-28-38)36-48-50(43,44)46-34-22-20-18-16-14-12-10-8-6-4-2;;/h23-32H,3-22,33-36H2,1-2H3,(H,41,42)(H,43,44);;/q;2*+1/p-2/b24-23+;;",3.9208187539523753
B-16,23,,,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,893.0879999999997,"InChI=1S/C48H82O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-41-53-57(49,50)55-43-47-37-33-45(34-38-47)31-32-46-35-39-48(40-36-46)44-56-58(51,52)54-42-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-40H,3-30,41-44H2,1-2H3,(H,49,50)(H,51,52);;/q;2*+1/p-2/b32-31+;;",
B-16,23,0.0016,54.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,893.0879999999997,"InChI=1S/C48H82O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-41-53-57(49,50)55-43-47-37-33-45(34-38-47)31-32-46-35-39-48(40-36-46)44-56-58(51,52)54-42-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-40H,3-30,41-44H2,1-2H3,(H,49,50)(H,51,52);;/q;2*+1/p-2/b32-31+;;",2.795880017344075
B-16,50,0.0004,38.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,893.0879999999997,"InChI=1S/C48H82O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-41-53-57(49,50)55-43-47-37-33-45(34-38-47)31-32-46-35-39-48(40-36-46)44-56-58(51,52)54-42-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-40H,3-30,41-44H2,1-2H3,(H,49,50)(H,51,52);;/q;2*+1/p-2/b32-31+;;",3.3979400086720375
B-16,50,0.00071,37.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,893.0879999999997,"InChI=1S/C48H82O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-41-53-57(49,50)55-43-47-37-33-45(34-38-47)31-32-46-35-39-48(40-36-46)44-56-58(51,52)54-42-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-40H,3-30,41-44H2,1-2H3,(H,49,50)(H,51,52);;/q;2*+1/p-2/b32-31+;;",3.1487416512809245
B-20,23,,,CCCCCCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,1005.3039999999993,"InChI=1S/C56H98O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-49-61-65(57,58)63-51-55-45-41-53(42-46-55)39-40-54-43-47-56(48-44-54)52-64-66(59,60)62-50-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h39-48H,3-38,49-52H2,1-2H3,(H,57,58)(H,59,60);;/q;2*+1/p-2/b40-39+;;",
B-20,23,0.0018,60.0,CCCCCCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,1005.3039999999993,"InChI=1S/C56H98O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-49-61-65(57,58)63-51-55-45-41-53(42-46-55)39-40-54-43-47-56(48-44-54)52-64-66(59,60)62-50-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h39-48H,3-38,49-52H2,1-2H3,(H,57,58)(H,59,60);;/q;2*+1/p-2/b40-39+;;",2.744727494896694
B-20,50,0.0024,42.0,CCCCCCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,1005.3039999999993,"InChI=1S/C56H98O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-49-61-65(57,58)63-51-55-45-41-53(42-46-55)39-40-54-43-47-56(48-44-54)52-64-66(59,60)62-50-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h39-48H,3-38,49-52H2,1-2H3,(H,57,58)(H,59,60);;/q;2*+1/p-2/b40-39+;;",2.619788758288394
B-20,50,0.00092,40.0,CCCCCCCCCCCCCCCCCCCCOP(=O)([O-])OCc1ccc(/C=C/c2ccc(COP(=O)([O-])OCCCCCCCCCCCCCCCCCCCC)cc2)cc1.[Na+].[Na+],10.1021/ja00075a025,,tensiometry,1005.3039999999993,"InChI=1S/C56H98O8P2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-49-61-65(57,58)63-51-55-45-41-53(42-46-55)39-40-54-43-47-56(48-44-54)52-64-66(59,60)62-50-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h39-48H,3-38,49-52H2,1-2H3,(H,57,58)(H,59,60);;/q;2*+1/p-2/b40-39+;;",3.036212172654445
