Temperature K,Mole frac. of CTAB,αm,g1,CMCexp,CMCideal,Xm1,Xideal1,βm,f1,f2,source_doi,reference_doi,SMILES
318.15,0.0,0.5075,0.4925,0.9162,,,,,,,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-]
318.15,0.2,0.4668,0.5332,0.9405,0.9578,0.8247,0.6538,-0.1299,0.9908,0.816,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
318.15,0.4,0.4602,0.5398,0.9512,1.0037,0.6422,0.5138,-0.236,0.9328,0.7992,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
318.15,0.6,0.4484,0.5516,0.9516,1.0542,0.4671,0.3598,-0.4116,0.764,0.8132,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
318.15,0.8,0.3975,0.6025,1.069,1.11,0.2604,0.1894,-0.1998,0.7775,0.9693,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
318.15,1.0,0.3459,0.6541,1.172,,,,,,,10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
323.15,0.0,0.5212,0.4788,0.942,,,,,,,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-]
323.15,0.2,0.4676,0.5324,1.032,0.9894,,0.6389,,,,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
323.15,0.4,0.4699,0.5301,0.9931,1.0419,0.6493,0.5046,-0.2131,0.9414,0.8131,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
323.15,0.6,0.4511,0.5489,1.0652,1.1002,0.4692,0.3552,-0.1308,0.9187,0.9359,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
323.15,0.8,0.4164,0.5836,1.121,1.1655,0.2657,0.1881,-0.2041,0.7762,0.9674,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
323.15,1.0,0.3632,0.6368,1.239,,,,,,,10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
