DOI,SMILES,CMC/ mM,AW_ST/ mN/m,gamma μmol/m^2,area/ nm^2,C_{20} * 10^{-4},pi_CMC/ mN/m,\deltaG_{ads}/ kJ/mol,Type_of_surfactant,Notes
10.1021/la5045267,OC(C[N+]1=CC(O(CCCCCCCCCC))=CC=C1)C[N+]2=CC(O(CCCCCCCCCC))=CC=C2.[Br-].[Br-],1.0;1.0;0.90;1.02,26.2,0.83,1.98,1.34,45.8,-71.54,cationic gemini,CMC column: conductivity measurement;surface tension measurement;fluorescence measurement;isothermal titration calorimetry measurement. Gamma column: used n = 3 measurement. Area column: used n = 3 measurement
10.1021/la5045267,OC(C[N+]1=CC(O(CCCCCCCCCCCC))=CC=C1)C[N+]2=CC(O(CCCCCCCCCCCC))=CC=C2.[Br-].[Br-],0.15;0.14;0.10;0.15,33.64,0.76,2.1,0.21,38.36,-70.39,cationic gemini,CMC column: conductivity measurement;surface tension measurement;fluorescence measurement;isothermal titration calorimetry measurement. Gamma column: used n = 3 measurement. Area column: used n = 3 measurement
10.1021/la5045267,OC(C[N+]1=CC(O(CCCCCCCCCCCCCC))=CC=C1)C[N+]2=CC(O(CCCCCCCCCCCCCC))=CC=C2.[Br-].[Br-],0.027;0.026;0.025;0.021,47.8,0.55,3,0.17,24.2,-65.51,cationic gemini,CMC column: conductivity measurement;surface tension measurement;fluorescence measurement;isothermal titration calorimetry measurement. Gamma column: used n = 3 measurement. Area column: used n = 3 measurement
10.1021/la5045267,OC(C[N+]1=CC(O(CCCCCCCCCCCCCCCC))=CC=C1)C[N+]2=CC(O(CCCCCCCCCCCCCCCC))=CC=C2.[Br-].[Br-],0.0003;n.d;0.004;0.006,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,cationic gemini,CMC column: conductivity measurement;surface tension measurement;fluorescence measurement;isothermal titration calorimetry measurement. Gamma column: used n = 3 measurement. Area column: used n = 3 measurement
