surfactant,γcmc mN m-1,103(C20) mol L-1,σ (nm2),∆G°ads (kJ mol-1),Temp_Celsius,source_doi,reference_doi,SMILES
C10ABzCl,39.0,5.9,0.87,-33.3,25,10.1021/la026286y,,CCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1ccccc1.[Cl-]
C12ABzCl,39.6,1.6,0.82,-35.9,25,10.1021/la026286y,,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14ABzCl,39.9,0.4,0.79,-38.9,25,10.1021/la026286y,,CCCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1ccccc1.[Cl-]
C16ABzCl,42.2,0.11,0.73,-41.3,25,10.1021/la026286y,,CCCCCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1ccccc1.[Cl-]
C10MeCl,42.0,6.6,0.87,,25,10.1021/la026286y,10.1021/es0015141,CCCCCCCCCCC(=O)NCC[N+](C)(C)CC.[Cl-]
C12MeCl,41.8,1.6,0.62,,25,10.1021/la026286y,10.1021/es0015141,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)CC.[Cl-]
C14MeCl,40.0,0.28,0.53,,25,10.1021/la026286y,10.1021/es0015141,CCCCCCCCCCCCCCC(=O)NCC[N+](C)(C)CC.[Cl-]
C16MeCl,37.6,0.04,0.49,,25,10.1021/la026286y,10.1021/es0015141,CCCCCCCCCCCCCCCCC(=O)NCC[N+](C)(C)CC.[Cl-]
C16BzCl,,,0.62,,35,10.1021/la026286y,10.1021/es0015141,
