SAA,T (K),CMC (mmol/L),γCMC (mN/m),Γmax (μmol/m2),Amin (nm2),pC20 (mol/L),source_doi,reference_doi,SMILES,method
m-MDRA-12,298,4.6,40.7,2.14,0.78,2.82,10.1039/C4RA07363K,,CCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],tensiometry
m-MDRA-14,298,1.2,41.8,1.77,0.94,3.44,10.1039/C4RA07363K,,CCCCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],tensiometry
m-MDRA-16,298,0.31,42.1,1.5,1.1,4.3,10.1039/C4RA07363K,,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],tensiometry
m-MDRA-18,298,0.0316,42.5,1.25,1.33,5.34,10.1039/C4RA07363K,,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1cccc(OC)c1.[Cl-],tensiometry
BAC-12,298,9.08,38.0,1.64,1.01,2.85,10.1039/C4RA07363K,,,tensiometry
BAC-14,298,1.88,39.2,1.59,1.05,3.37,10.1039/C4RA07363K,,,tensiometry
BAC-16,298,0.398,39.6,1.46,1.14,4.13,10.1039/C4RA07363K,,,tensiometry
BAC-18,298,0.053,40.3,1.23,1.35,5.14,10.1039/C4RA07363K,,,tensiometry
