Comp.,Temp. °C,CMC/(mM·L−1),method,α,PC20/ (mol·L−1),πCMC/ (mN m−1),Гmax ∗ 1010 (mol·cm−2),Amin/ A2,Tk/ °C,source_doi,reference_doi,SMILES
C10Dim,25,2.438,tensiometry,,4.77,39.7,7.93,209.4,2,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C10Dim,40,1.204,tensiometry,,5.03,38.07,7.03,236.01,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C10Dim,60,0.507,tensiometry,,5.16,35.29,6.2,267.81,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C12Dim,25,0.893,tensiometry,,5.49,40.71,7.37,225.13,6,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C12Dim,40,0.453,tensiometry,,5.64,38.79,6.36,260.94,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C12Dim,60,0.221,tensiometry,,5.89,36.61,5.73,289.71,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C16Dim,25,0.096,tensiometry,,5.9,32.16,6.57,252.63,13,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C16Dim,40,0.069,tensiometry,,6.13,31.62,5.72,290.02,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C16Dim,60,0.0379,tensiometry,,6.53,31.45,4.73,351.33,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C10Dim,25,2.52,conductometry,0.26,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C10Dim,40,1.269,conductometry,0.272,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C10Dim,60,0.667,conductometry,0.278,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C12Dim,25,1.03,conductometry,0.255,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C12Dim,40,0.617,conductometry,0.26,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C12Dim,60,0.294,conductometry,0.267,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C16Dim,25,0.114,conductometry,0.243,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C16Dim,40,0.179,conductometry,0.25,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
C16Dim,60,0.078,conductometry,0.256,,,,,,10.1016/j.molliq.2015.03.043,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC/N=C/c1ccc(OC)c(OC)c1.[Br-]
