identifier,Tail_1.1,Tail_2.1,Ion_1.1,Ion_2.1,Spacer.1,SMILES,Surfactant_Type,Temp_Celsius,pCMC,source_doi,CMC,Molecular_Weight,InChI
1,,,,,,CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0,3.0,10.1016/j.chemosphere.2011.05.031,0.001,393.5490000000003,"InChI=1S/C20H44NO4P/c1-5-7-9-11-13-15-17-21(3,4)18-20-25-26(22,23)24-19-16-14-12-10-8-6-2/h5-20H2,1-4H3"
2,,,,,,CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,cationic gemini,25.0,3.9586,10.1016/j.chemosphere.2011.05.031,0.00011000185275062206,421.6030000000004,"InChI=1S/C22H48NO4P/c1-5-7-9-11-13-14-15-17-19-23(3,4)20-22-27-28(24,25)26-21-18-16-12-10-8-6-2/h5-22H2,1-4H3"
3,,,,,,CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0,4.0,10.1016/j.chemosphere.2011.05.031,0.0001,421.60300000000035,"InChI=1S/C22H48NO4P/c1-5-7-9-11-13-14-16-18-21-26-28(24,25)27-22-20-23(3,4)19-17-15-12-10-8-6-2/h5-22H2,1-4H3"
4,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,cationic gemini,25.0,4.8539,10.1016/j.chemosphere.2011.05.031,1.3999096265683417e-05,449.6570000000005,"InChI=1S/C24H52NO4P/c1-5-7-9-11-13-14-15-16-17-19-21-25(3,4)22-24-29-30(26,27)28-23-20-18-12-10-8-6-2/h5-24H2,1-4H3"
5,,,,,,CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0,4.7447,10.1016/j.chemosphere.2011.05.031,1.8001139604180114e-05,449.65700000000044,"InChI=1S/C24H52NO4P/c1-5-7-9-11-13-14-15-16-18-20-23-28-30(26,27)29-24-22-25(3,4)21-19-17-12-10-8-6-2/h5-24H2,1-4H3"
6,,,,,,CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCC,cationic gemini,25.0,4.8861,10.1016/j.chemosphere.2011.05.031,1.2998702373886042e-05,449.65700000000044,"InChI=1S/C24H52NO4P/c1-5-7-9-11-13-15-17-19-21-25(3,4)22-24-29-30(26,27)28-23-20-18-16-14-12-10-8-6-2/h5-24H2,1-4H3"
7,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,cationic gemini,25.0,5.2147,10.1016/j.chemosphere.2011.05.031,6.099580958722392e-06,477.7110000000006,"InChI=1S/C26H56NO4P/c1-5-7-9-11-13-14-15-16-17-18-19-21-23-27(3,4)24-26-31-32(28,29)30-25-22-20-12-10-8-6-2/h5-26H2,1-4H3"
8,,,,,,CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0,5.0969,10.1016/j.chemosphere.2011.05.031,8.000184448550994e-06,477.71100000000047,"InChI=1S/C26H56NO4P/c1-5-7-9-11-13-14-15-16-17-18-20-22-25-30-32(28,29)31-26-24-27(3,4)23-21-19-12-10-8-6-2/h5-26H2,1-4H3"
9b,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,cationic gemini,25.0,4.8861,10.1016/j.chemosphere.2011.05.031,1.2998702373886042e-05,477.7110000000005,"InChI=1S/C26H56NO4P/c1-5-7-9-11-13-15-16-17-19-21-23-27(3,4)24-26-31-32(28,29)30-25-22-20-18-14-12-10-8-6-2/h5-26H2,1-4H3"
10,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,cationic gemini,25.0,5.2757,10.1016/j.chemosphere.2011.05.031,5.300294488357963e-06,505.7650000000006,"InChI=1S/C28H60NO4P/c1-5-7-9-11-13-15-16-17-18-19-21-23-25-29(3,4)26-28-33-34(30,31)32-27-24-22-20-14-12-10-8-6-2/h5-28H2,1-4H3"
11,,,,,,CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCC,cationic gemini,25.0,5.2596,10.1016/j.chemosphere.2011.05.031,5.50047252867634e-06,505.76500000000055,"InChI=1S/C28H60NO4P/c1-5-7-9-11-13-15-16-17-18-20-22-24-27-32-34(30,31)33-28-26-29(3,4)25-23-21-19-14-12-10-8-6-2/h5-28H2,1-4H3"
12,,,,,,CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,cationic gemini,25.0,5.0458,10.1016/j.chemosphere.2011.05.031,8.999119108700523e-06,505.7650000000006,"InChI=1S/C28H60NO4P/c1-5-7-9-11-13-15-17-19-21-23-25-29(3,4)26-28-33-34(30,31)32-27-24-22-20-18-16-14-12-10-8-6-2/h5-28H2,1-4H3"
13,,,,,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,cationic gemini,25.0,5.3188,10.1016/j.chemosphere.2011.05.031,4.79954424931944e-06,533.8190000000006,"InChI=1S/C30H64NO4P/c1-5-7-9-11-13-14-15-16-17-18-19-20-21-22-23-25-27-31(3,4)28-30-35-36(32,33)34-29-26-24-12-10-8-6-2/h5-30H2,1-4H3"
14,,,,,,CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0,5.2291,10.1016/j.chemosphere.2011.05.031,5.900651969956664e-06,533.8190000000003,"InChI=1S/C30H64NO4P/c1-5-7-9-11-13-14-15-16-17-18-19-20-21-22-24-26-29-34-36(32,33)35-30-28-31(3,4)27-25-23-12-10-8-6-2/h5-30H2,1-4H3"
15,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,cationic gemini,25.0,5.301,10.1016/j.chemosphere.2011.05.031,5.000345349769783e-06,533.8190000000005,"InChI=1S/C30H64NO4P/c1-5-7-9-11-13-15-16-17-18-19-20-21-23-25-27-31(3,4)28-30-35-36(32,33)34-29-26-24-22-14-12-10-8-6-2/h5-30H2,1-4H3"
16,,,,,,CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,cationic gemini,25.0,5.1549,10.1016/j.chemosphere.2011.05.031,7.000031591308975e-06,533.8190000000005,"InChI=1S/C30H64NO4P/c1-5-7-9-11-13-15-17-18-20-22-24-26-29-34-36(32,33)35-30-28-31(3,4)27-25-23-21-19-16-14-12-10-8-6-2/h5-30H2,1-4H3"
17,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,cationic gemini,25.0,5.3665,10.1016/j.chemosphere.2011.05.031,4.300312336305441e-06,533.8190000000005,"InChI=1S/C30H64NO4P/c1-5-7-9-11-13-15-17-18-19-21-23-25-27-31(3,4)28-30-35-36(32,33)34-29-26-24-22-20-16-14-12-10-8-6-2/h5-30H2,1-4H3"
