id,SMILES,Canonical SMILES fixed,Ref_CMC,Primary source
837,CCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCC,CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H](C)O)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,10.1021/ie4016232,10.1021/ie800954k
852,THIS ENTRY SHOULD BE DELETED,,,
1467,CCCCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,CCCCCCOCC(O)C(O)C(O)CO,10.1021/ie4016232,10.1021/ie800954k
1511,CCCCOC1[CH][C@H](O)[C@@H](O)C(O)O1,CCCCOCC(O)C(O)C(O)CO,10.1021/ie4016232,10.1021/ie800954k
908,THIS ENTRY SHOULD BE DELETED,,,
