identifier,cmc (mM),cmc (mM) err,α,β,DGomic (kJ/mol),source_doi,reference_doi,SMILES,Temp_Celsius,method
4-O-4,158.5,3.5,0.69,0.31,11.8,10.1016/j.crci.2019.04.002,,CCCC[N+](C)(C)CCOCC[N+](C)(C)CCCC.[Br-].[Br-],25.0,conductometry
6-O-6,81.1,2.0,0.66,0.34,12.2,10.1016/j.crci.2019.04.002,,CCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCC.[Br-].[Br-],25.0,conductometry
8-O-8,21.1,0.9,0.66,0.34,17.8,10.1016/j.crci.2019.04.002,,CCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],25.0,conductometry
10-O-10,6.59,0.16,0.49,0.51,26.9,10.1016/j.crci.2019.04.002,,CCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],25.0,conductometry
12-O-12,1.047,0.006,0.29,0.71,42.9,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry
14-O-14,0.201,0.002,0.42,0.58,47.3,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry
16-O-16,0.032,0.002,0.56,0.44,49.9,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry
18-O-18,0.033,0.001,0.42,0.58,56.9,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry
