SMILES,Surfactant_Type,Temp_Celsius,AW_ST_CMC,source_doi,reference_doi,method,Molecular_Weight,InChI
CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCCO,non-ionic,,39.0,https://palmoilis.mpob.gov.my/publications/joprv18june-roila.pdf,,tensiometry,373.57800000000015,"InChI=1S/C21H43NO4/c1-2-3-4-5-7-10-14-19(24)20(25)15-11-8-6-9-12-16-21(26)22-17-13-18-23/h19-20,23-25H,2-18H2,1H3,(H,22,26)"
CCCCCCCCC(O)C(O)CCCCCCCC(=O)NCCO,non-ionic,,35.0,https://palmoilis.mpob.gov.my/publications/joprv18june-roila.pdf,,tensiometry,359.5510000000001,"InChI=1S/C20H41NO4/c1-2-3-4-5-7-10-13-18(23)19(24)14-11-8-6-9-12-15-20(25)21-16-17-22/h18-19,22-24H,2-17H2,1H3,(H,21,25)"
