Compound,CMC  (mM),γIT (mN m-1),πCMC (mN m-1),Pc20 (mM),∂γ/∂log,Γmax (mol m-2),Amin (Ä2),ΔGmic (kJ mol-1),ΔGads (kJ mol-1),Temp_Celsius,source_doi,reference_doi,SMILES
VSBO,2.5,4,30.5,0.026,-11.02,0.96,173.9,-29.97,-33.05,25.0,10.1016/j.colsurfa.2011.09.032,,CCCCCCCCOC(=O)C[n+]1cccc(N=Cc2ccc(O)c(OC)c2)c1.[Br-]
VSBD,1.51,3,34.0,0.067,-13.61,1.18,140.8,-32.91,-36.19,25.0,10.1016/j.colsurfa.2011.09.032,,CCCCCCCCCCCCOC(=O)C[n+]1cccc(N=Cc2ccc(O)c(OC)c2)c1.[Br-]
VSBH,0.56,2,42.0,0.135,-15.52,1.34,123.6,-36.89,-40.04,25.0,10.1016/j.colsurfa.2011.09.032,,CCCCCCCCCCCCCCCCOC(=O)C[n+]1cccc(N=Cc2ccc(O)c(OC)c2)c1.[Br-]
