Surfactant,Temperature (K),CMC (mM/L),β,ΔGmic (kJ/mol),ΔGads (kJ/mol),ΔHmic (kJ/mol),-TΔSmic (kJ/mol),source_doi,reference_doi,method,SMILES
(Mor)16-P-16,308.15,0.139,0.2107,−23.48,,−111.49,88.01,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-BP-10,288.15,5.530,0.5528,−23.23,,−6.93,−16.30,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-BP-10,293.15,5.560,0.5525,−23.62,,−8.51,−15.11,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-BP-10,298.15,5.804,0.5456,−23.75,−50.97,−10.13,−13.63,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-BP-10,303.15,5.830,0.5409,−24.03,,−11.86,−12.17,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-BP-10,308.15,6.160,0.5367,−24.18,,−13.65,−10.53,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-BP-12,288.15,0.900,0.6351,−29.99,,−45.62,15.64,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-BP-12,293.15,0.910,0.5751,−28.87,,−47.40,18.53,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-BP-12,298.15,0.930,0.5412,−28.38,−65.30,−49.20,20.82,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-BP-12,303.15,0.942,0.5446,−28.92,,−51.16,22.24,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-BP-12,308.15,0.964,0.5071,−28.28,,−52.99,24.71,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-BP-14,288.15,0.334,0.5899,−31.39,,−114.02,82.63,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-BP-14,293.15,0.353,0.4592,−27.97,,−116.15,88.18,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-BP-14,298.15,0.358,0.4345,−27.68,−62.99,−119.35,91.67,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-BP-14,303.15,0.381,0.3386,−25.13,,−121.76,96.63,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-BP-14,308.15,0.388,0.3272,−25.15,,−125.07,99.92,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-BP-16,288.15,0.089,0.6492,−36.73,,−98.38,61.65,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-BP-16,293.15,0.091,0.5474,−34.01,,−100.78,66.77,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-BP-16,298.15,0.091,0.5050,−33.17,−86.06,−103.44,70.27,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-BP-16,303.15,0.092,0.4579,−32.14,,−106.18,74.05,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-BP-16,308.15,0.092,0.4340,−31.84,,−109.02,77.17,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
