identifier,Temp_Celsius,ref,SMILES,pCMC,Molecular_Weight,InChI,CMC,source_doi,reference_doi
"octyl-D,L-glycerol",25,10,CCCCCCCCOCC(O)CO,2.2365720064370627,204.31,"InChI=1S/C11H24O3/c1-2-3-4-5-6-7-8-14-10-11(13)9-12/h11-13H,2-10H2,1H3",0.0058,10.1021/acs.iecr.6b02890,10.1021/j150575a003
octyl glycol,25,10,CCCCCCCCOCCO,2.309803919971486,174.284,"InChI=1S/C10H22O2/c1-2-3-4-5-6-7-9-12-10-8-11/h11H,2-10H2,1H3",0.004900000000000001,10.1021/acs.iecr.6b02890,10.1021/j150575a003
octyl-β-D-glucoside,25,14,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.6989700043360187,292.372,"InChI=1S/C14H28O6/c1-2-3-4-5-6-7-8-19-14-13(18)12(17)11(16)10(9-15)20-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13-,14-/m1/s1",0.02,10.1021/acs.iecr.6b02890,10.1007/BF02541865
octyl-α-D-mannoside,25,14,CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,2.221848749616356,292.372,"InChI=1S/C14H28O6/c1-2-3-4-5-6-7-8-19-14-13(18)12(17)11(16)10(9-15)20-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13+,14+/m1/s1",0.006,10.1021/acs.iecr.6b02890,10.1007/BF02541865
octyl-β-D-galactoside,25,14,CCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1.7958800173440752,292.372,"InChI=1S/C14H28O6/c1-2-3-4-5-6-7-8-19-14-13(18)12(17)11(16)10(9-15)20-14/h10-18H,2-9H2,1H3/t10-,11+,12+,13-,14-/m1/s1",0.016,10.1021/acs.iecr.6b02890,10.1007/BF02541865
decyl-α-D-mannoside,25,14,CCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,3.6020599913279625,320.4260000000001,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15+,16+/m1/s1",0.00025,10.1021/acs.iecr.6b02890,10.1007/BF02541865
decyl-β-D-galactoside,25,14,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,3.154901959985743,320.4260000000001,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13+,14+,15-,16-/m1/s1",0.0007,10.1021/acs.iecr.6b02890,10.1007/BF02541865
dodecyl-α-D-mannoside,25,14,CCCCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,4.301029995663981,348.4800000000002,"InChI=1S/C18H36O6/c1-2-3-4-5-6-7-8-9-10-11-12-23-18-17(22)16(21)15(20)14(13-19)24-18/h14-22H,2-13H2,1H3/t14-,15-,16+,17+,18+/m1/s1",5e-05,10.1021/acs.iecr.6b02890,10.1007/BF02541865
dodecyl-β-D-Galactoside,25,14,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,3.6989700043360187,348.4800000000002,"InChI=1S/C18H36O6/c1-2-3-4-5-6-7-8-9-10-11-12-23-18-17(22)16(21)15(20)14(13-19)24-18/h14-22H,2-13H2,1H3/t14-,15+,16+,17-,18-/m1/s1",0.0002,10.1021/acs.iecr.6b02890,10.1007/BF02541865
"1-O-butyl-D,L-xylitol",25,53,CCCCOC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,1.2365720064370627,416.50800000000015,"InChI=1S/2C9H20O5/c2*1-2-3-4-14-6-8(12)9(13)7(11)5-10/h2*7-13H,2-6H2,1H3/t2*7-,8+,9+/m10/s1",0.058,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
