Comp. ID,SMILES,pCMC experiment,method
183,CCCCCCCCCCOc1ccc(cc1)NC(=O)C[N+](CCCCCC[N+](CC(=O)Nc1ccc(cc1)OCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.690,
184,CCCCCCCCCCCC[N+](CCC(C[N+](CCCCCCCCCCCC)(C)C)O)(C)C.[Br-].[Br-],3.027,
185,CCCCCCN(CC(C[N+](CCCCCCCCCCCC)(C)C)O)CC(C[N+](CCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],3.502,
186,CCCCCCCCN(CC(C[N+](CCCCCCCCCCCC)(C)C)O)CC(C[N+](CCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],3.599,
187,CCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],3.009,
188,CCCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],3.022,
189,CCCCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCC)(C)C)(C)C.[Br-].[Br-],2.292,
190,CCCCCCCCCCCCCCOc1ccc(cc1)NC(=O)C[N+](CCCCCC[N+](CC(=O)Nc1ccc(cc1)OCCCCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.602,
191,CCCCCCCCCCCCCCCCOc1ccc(cc1)NC(=O)C[N+](CC[N+](CC(=O)Nc1ccc(cc1)OCCCCCCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.854,
192,CCCCCCCCCCCCCCCCOc1ccc(cc1)NC(=O)C[N+](CCCC[N+](CC(=O)Nc1ccc(cc1)OCCCCCCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.703,
193,CCCCCCCCN(CC(C[N+](C(COC(=O)CCCCCCCCC)C)(C)C)O)CC(C[N+](C(COC(=O)CCCCCCCCC)C)(C)C)O.[Cl-].[Cl-],4.106,
194,CCCCCCCCCCCCNC(=O)C[N+](CCCCCC[N+](CC(=O)NCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.469,
195,CCCCCCCCCCC(Cn1cc[n+](c1)CCCCC[n+]1ccn(c1)CC(CCCCCCCCCC)O)O.[Br-].[Br-],2.833,
196,CCCCCCCCCCC(Cn1cc[n+](c1)CCCCCCCC[n+]1ccn(c1)CC(CCCCCCCCCC)O)O.[Br-].[Br-],2.799,
197,CCCCCCCCCCCCCCCCn1cc[n+](c1)CC(C[n+]1ccn(c1)CCCCCCCCCCCCCCCC)O.[Cl-].[Cl-],4.387,
198,CCCCCCCCCCCC[n+]1ccccc1CCCCCCCCCCCCc1cccc[n+]1CCCCCCCCCCCC.[Cl-].[Cl-],3.658,
199,CCCCCCCCCCCCOc1ccc[n+](c1)CC[n+]1cccc(c1)OCCCCCCCCCCCC.[Br-].[Br-],3.745,
200,CCCCCCCCCCCCC([n+]1ccccc1)CSCCSCC([n+]1ccccc1)CCCCCCCCCCCC.[Br-].[Br-],4.000,
201,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[n+]1ccccc1CCCCc1cccc[n+]1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F.[O-]S(=O)(=O)C.[O-]S(=O)(=O)C,2.714,
202,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],4.495,
203,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],3.180,
204,CCCCCCCCCCCC[N+]1(CCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],3.208,
205,CCCCCCCCCCCCCCCCCC[N+]1(CCCC1)CC#CC[N+]1(CCCCCCCCCCCCCCCCCC)CCCC1.[Br-].[Br-],4.979,
206,CCCCCCCC[N+]1(CCCC1)CC#CC[N+]1(CCCCCCCC)CCCC1.[Br-].[Br-],1.450,
207,CCCC[N+](CCOCC[N+](CCCC)(C)C)(C)C.[Br-].[Br-],0.800,
208,CCCCCC[N+](CCOCC[N+](CCCCCC)(C)C)(C)C.[Br-].[Br-],1.091,
209,CCCCCCCC[N+]1(CCCCC1)CC#CC[N+]1(CCCCCCCC)CCCCC1.[Br-].[Br-],1.321,
210,Cn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)C.[Cl-].[Cl-],2.220,
211,Cn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)C.[Cl-].[Cl-],2.290,
212,CCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCC.[Cl-].[Cl-],2.320,
213,CCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCC.[Cl-].[Cl-],2.450,
214,CCCCCCCCCCC([n+]1ccn(c1)C)CSCCCSCC([n+]1ccn(c1)C)CCCCCCCCCC.[Br-].[Br-],2.456,
215,CCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCC.[Cl-].[Cl-],2.580,
216,CCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCC.[Cl-].[Cl-],2.580,
217,CCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCC.[Cl-].[Cl-],2.610,
218,CCCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCCC.[Cl-].[Cl-],2.830,
219,CCCCCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCCCCC.[Cl-].[Cl-],2.920,
220,CCCCCCCCCCCCCCn1cc[n+](c1)CC(C[n+]1ccn(c1)CCCCCCCCCCCCCC)O.[Cl-].[Cl-],2.974,
221,[O-]S(=O)(=O)C.[O-]S(=O)(=O)C.CCCCCCCCCCCC[n+]1ccccc1CCCCCCCCCCCCc1cccc[n+]1CCCCCCCCCCCC,3.125,
222,CCCCCCCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCCCCCCC.[Cl-].[Cl-],3.220,
223,CCCCCCCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCCCCCCC.[Cl-].[Cl-],3.250,
224,CCCCCCCCCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCCCCCCCCC.[Cl-].[Cl-],3.340,
225,CCCCCCCCCCCCCCCCOCC(Cn1cc[n+](c1)CCC[n+]1ccn(c1)CC(COCCCCCCCCCCCCCCCC)O)O.[Br-].[Br-],3.386,
226,CCCCCCCCCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCC.[Cl-].[Cl-],3.400,
227,CCCCCCCCCCCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],3.520,
228,CCCCCCCCCCCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],3.550,
229,CCCCCCCCCCCCOC(=O)C[n+]1ccc(cc1)CCCc1cc[n+](cc1)CC(=O)OCCCCCCCCCCCC.[Br-].[Br-],4.444,
230,CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],4.538,
231,CCCCCCCCCCCCOCC(Cn1cc[n+](c1)CCC[n+]1ccn(c1)CC(COCCCCCCCCCCCC)O)O.[Br-].[Br-],4.699,
