Comp. ID,SMILES,pCMC experiment,method
39,CCCCCCCCCCCCNC(=O)C[N+](CCCCCCCCCCCC[N+](CC(=O)NCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.796,
40,CCCCCCCCCCCCOC(=O)C[N+](C(=O)NCCCCCCNC(=O)[N+](CC(=O)OCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.602,
41,CCCCCCCCCCCCOC(=O)C[N+](CCCCCC[N+](CC(=O)OCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.495,
42,CCCCCCCCCCn1cc[n+](c1)CC(C[n+]1ccn(c1)CCCCCCCCCC)O.[Cl-].[Cl-],2.597,
43,CCCCCCCCCCn1cc[n+](c1)CCC[n+]1ccn(c1)CCCCCCCCCC.[Br-].[Br-],2.472,
44,CCCCCCCCCCn1cc[n+](c1)CCCC[n+]1ccn(c1)CCCCCCCCCC.[Br-].[Br-],2.295,
45,CCCCCCCCCCC(Cn1cc[n+](c1)CCC[n+]1ccn(c1)CC(CCCCCCCCCC)O)O.[Br-].[Br-],2.863,
46,CCCCCCCCCCC(Cn1cc[n+](c1)CCCC[n+]1ccn(c1)CC(CCCCCCCCCC)O)O.[Br-].[Br-],2.854,
47,CCCCCCCCCCC(Cn1cc[n+](c1)CCCCCC[n+]1ccn(c1)CC(CCCCCCCCCC)O)O.[Br-].[Br-],2.804,
48,CCCCCCCCCCC([n+]1ccn(c1)C)CSCCSCC([n+]1ccn(c1)C)CCCCCCCCCC.[Br-].[Br-],3.398,
49,CCCCCCCCCCC([n+]1ccn(c1)C)CSCCCCSCC([n+]1ccn(c1)C)CCCCCCCCCC.[Br-].[Br-],3.509,
50,CCCCCCCCCCCC(=O)OCC(C[n+]1ccn(c1)C)(C[n+]1ccn(c1)C)COC(=O)CCCCCCCCCCC.[Br-].[Br-],3.587,
51,CCCCCCCCCCCCn1cc[n+](c1)CC(C[n+]1ccn(c1)CCCCCCCCCCCC)O.[Cl-].[Cl-],3.108,
52,CCCCCCCCCCCCn1cc[n+](c1)CC[n+]1ccn(c1)CCCCCCCCCCCC.[Br-].[Br-],3.194,
53,CCCCCCCCCCCCn1cc[n+](c1)CCCC[n+]1ccn(c1)CCCCCCCCCCCC.[Br-].[Br-],3.137,
54,CCCCCCCCCCCCn1cc[n+](c1)CCCCCC[n+]1ccn(c1)CCCCCCCCCCCC.[Br-].[Br-],3.131,
55,CCCCCCCCCCCCC([n+]1ccn(c1)C)CSCCSCC([n+]1ccn(c1)C)CCCCCCCCCCCC.[Br-].[Br-],4.000,
56,CCCCCCCCCCCCC([n+]1ccn(c1)C)CSCCCSCC([n+]1ccn(c1)C)CCCCCCCCCCCC.[Br-].[Br-],4.071,
57,CCCCCCCCCCCCC([n+]1ccn(c1)C)CSCCCCSCC([n+]1ccn(c1)C)CCCCCCCCCCCC.[Br-].[Br-],4.149,
58,CCCCCCCCCCCCCCOCC(Cn1cc[n+](c1)CCC[n+]1ccn(c1)CC(COCCCCCCCCCCCCCC)O)O.[Br-].[Br-],4.149,
59,CCCCCCCCCCCCCCC([n+]1ccn(c1)C)CSCCSCC([n+]1ccn(c1)C)CCCCCCCCCCCCCC.[Br-].[Br-],4.658,
60,CCCCCCCCCCCCCCC([n+]1ccn(c1)C)CSCCCSCC([n+]1ccn(c1)C)CCCCCCCCCCCCCC.[Br-].[Br-],4.678,
61,CCCCCCCCCCCCCCC([n+]1ccn(c1)C)CSCCCCSCC([n+]1ccn(c1)C)CCCCCCCCCCCCCC.[Br-].[Br-],4.699,
62,CCCCCCCCCCCCCCCC(=O)OCC(C[n+]1ccn(c1)C)(C[n+]1ccn(c1)C)COC(=O)CCCCCCCCCCCCCCC.[Br-].[Br-],4.377,
63,CCCCCCCCn1cc[n+](c1)CC(C[n+]1ccn(c1)CCCCCCCC)O.[Cl-].[Cl-],2.360,
64,CCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]1(CCCCCCCCCC)CCCCC1.[Br-].[Br-],2.225,
65,CCCCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]1(CCCCCCCCCCCC)CCCCC1.[Br-].[Br-],3.050,
66,CCCCCCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]1(CCCCCCCCCCCCCC)CCCCC1.[Br-].[Br-],3.684,
67,CCCCCCCCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]1(CCCCCCCCCCCCCCCC)CCCCC1.[Br-].[Br-],4.224,
68,CCCCCCCCCCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]1(CCCCCCCCCCCCCCCCCC)CCCCC1.[Br-].[Br-],4.780,
69,CCCCCCCCCCc1cccc[n+]1CCCC[n+]1ccccc1CCCCCCCCCC.[Br-].[Br-],2.616,
70,CCCCCCCCCCc1cccc[n+]1CCCCCC[n+]1ccccc1CCCCCCCCCC.[Br-].[Br-],2.666,
71,CCCCCCCCCCOc1ccc[n+](c1)CC(C[n+]1cccc(c1)OCCCCCCCCCC)O.[Br-].[Br-],3.000,
72,CCCCCCCCCCC([n+]1ccccc1)CSCCSCC([n+]1ccccc1)CCCCCCCCCC.[Br-].[Br-],3.367,
73,CCCCCCCCCCCCC(=O)OCC[n+]1ccc(cc1)CCCc1cc[n+](cc1)CCOC(=O)CCCCCCCCCCCC.[Br-].[Br-],3.724,
74,CCCCCCCCCCCCC(=O)OCC[n+]1ccc(cc1)CCCc1cc[n+](cc1)CCOC(=O)CCCCCCCCCCCC.[Cl-].[Cl-],3.408,
75,[O-]S(=O)(=O)C.[O-]S(=O)(=O)C.CCCCCCCCCCCC[n+]1ccccc1CCc1cccc[n+]1CCCCCCCCCCCC,2.684,
76,CCCCCCCCCCCC[n+]1ccccc1CCCc1cccc[n+]1CCCCCCCCCCCC.[Br-].[Br-],3.077,
77,CCCCCCCCCCCC[n+]1ccccc1CCCc1cccc[n+]1CCCCCCCCCCCC.[Cl-].[Cl-],2.821,
78,[O-]S(=O)(=O)C.[O-]S(=O)(=O)C.CCCCCCCCCCCC[n+]1ccccc1CCCc1cccc[n+]1CCCCCCCCCCCC,2.680,
79,CCCCCCCCCCCC[n+]1ccccc1CCCCc1cccc[n+]1CCCCCCCCCCCC.[Cl-].[Cl-],2.893,
80,[O-]S(=O)(=O)C.[O-]S(=O)(=O)C.CCCCCCCCCCCC[n+]1ccccc1CCCCc1cccc[n+]1CCCCCCCCCCCC,2.714,
81,CCCCCCCCCCCC[n+]1ccccc1CCCCCCCCc1cccc[n+]1CCCCCCCCCCCC.[Cl-].[Cl-],2.955,
82,[O-]S(=O)(=O)C.[O-]S(=O)(=O)C.CCCCCCCCCCCC[n+]1ccccc1CCCCCCCCc1cccc[n+]1CCCCCCCCCCCC,2.879,
83,CCCCCCCCCCCC[n+]1cccc(c1)NC(=O)Nc1ccc[n+](c1)CCCCCCCCCCCC.[Br-].[Br-],3.777,
84,CCCCCCCCCCCCOc1ccc[n+](c1)CCCC[n+]1cccc(c1)OCCCCCCCCCCCC.[Br-].[Br-],3.620,
85,CCCCCCCCCCCCOc1ccc[n+](c1)CCC[n+]1cccc(c1)OCCCCCCCCCCCC.[Br-].[Br-],3.721,
86,CCCCCCCCCCCCOc1ccc[n+](c1)CC(C[n+]1cccc(c1)OCCCCCCCCCCCC)O.[Br-].[Br-],3.824,
87,CCCCCCCCCCCCCCC(=O)OCC[n+]1ccc(cc1)CCCc1cc[n+](cc1)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],3.857,
