identifier,Pi_CMC,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,Gamma_max,pCMC,Molecular_Weight,InChI
DMEB,39.0,0.84,29.85,10.1016/j.jcis.2005.05.054,,CCCCCCCCCCCC[N+](C)(C)C(C)C(O)c1ccccc1.[Br-],tensiometry,0.004,1.99e-06,2.3979400086720375,428.499,"InChI=1S/C23H42NO.BrH/c1-5-6-7-8-9-10-11-12-13-17-20-24(3,4)21(2)23(25)22-18-15-14-16-19-22;/h14-16,18-19,21,23,25H,5-13,17,20H2,1-4H3;1H/q+1;/p-1"
DMEB,,,29.85,10.1016/j.jcis.2005.05.054,10.1021/jp9506494,CCCCCCCCCCCC[N+](C)(C)C(C)C(O)c1ccccc1.[Br-],fluorimetry,0.0039,,2.408935392973501,428.499,"InChI=1S/C23H42NO.BrH/c1-5-6-7-8-9-10-11-12-13-17-20-24(3,4)21(2)23(25)22-18-15-14-16-19-22;/h14-16,18-19,21,23,25H,5-13,17,20H2,1-4H3;1H/q+1;/p-1"
DTAB,39.0,1.18,29.85,10.1016/j.jcis.2005.05.054,10.1021/jp9506494,CCCCCCCCCCCC[N+](C)(C)C.[Br-],tensiometry,0.0147,1.4e-06,1.832682665251824,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
DTAB,,,,10.1016/j.jcis.2005.05.054,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],tensiometry,,,,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
