ref,key
4,perkowski1995
9,huibers1996
11,li1998
12,cheng2005
19,yuan2002
22,koga2000
23,nakahara2005
24,paddon-jones2001
25,komorek2004
26,molina-bolivar2004
27,mureau2000
28,eastoe2001
29,kjellin2003
30,castro2002
31,ortona1998
32,ghosh2004
33,drummond1998
34,savelli1999
