id,SMILES,Canonical SMILES fixed,Ref_CMC,Primary source
1022,CCCCCCCCCCCC[N+](C)(C)CCOC1OC(CO)C(O)C(O)C1O.[Br-],CCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O.[Br-],10.1021/jo051579s,10.1021/jo051579s
1023,CCCCCCCCCCCC[N+](C)(C)CCOC1OC(COC)C(OC)C(OC)C1OC.[Br-],CCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.[Br-],10.1021/jo051579s,10.1021/jo051579s
613,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC1OC(CO)C(O)C(O)C1O.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O.[Br-],10.1021/jo051579s,10.1021/jo051579s
614,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC1OC(COC)C(OC)C(OC)C1OC.[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCO[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.[Br-],10.1021/jo051579s,10.1021/jo051579s
