identifier,method,AW_ST_CMC,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,Gamma_max,pCMC,Molecular_Weight,InChI
3C8trisQ,tensiometry,,1.9,25,10.1021/la301220y,,CCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCC)CC[N+](C)(C)CCCCCCCC.[Br-].[Br-].[Br-],,8.75e-07,,809.7840000000003,"InChI=1S/C36H81N4.3BrH/c1-10-13-16-19-22-25-31-38(4,5)34-28-37(29-35-39(6,7)32-26-23-20-17-14-11-2)30-36-40(8,9)33-27-24-21-18-15-12-3;;;/h10-36H2,1-9H3;3*1H/q+3;;;/p-3"
3C10trisQ,tensiometry,33.4,1.88,25,10.1021/la301220y,,CCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],0.00117,8.830000000000001e-07,2.9318141382538383,893.9459999999998,"InChI=1S/C42H93N4.3BrH/c1-10-13-16-19-22-25-28-31-37-44(4,5)40-34-43(35-41-45(6,7)38-32-29-26-23-20-17-14-11-2)36-42-46(8,9)39-33-30-27-24-21-18-15-12-3;;;/h10-42H2,1-9H3;3*1H/q+3;;;/p-3"
3C12trisQ,tensiometry,32.3,2.03,25,10.1021/la301220y,,CCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],0.00013900000000000002,8.2e-07,3.856985199745905,978.1079999999996,"InChI=1S/C48H105N4.3BrH/c1-10-13-16-19-22-25-28-31-34-37-43-50(4,5)46-40-49(41-47-51(6,7)44-38-35-32-29-26-23-20-17-14-11-2)42-48-52(8,9)45-39-36-33-30-27-24-21-18-15-12-3;;;/h10-48H2,1-9H3;3*1H/q+3;;;/p-3"
3C14trisQ,tensiometry,32.1,1.7,25,10.1021/la301220y,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-].[Br-],6.47e-06,9.7e-07,5.189095719331299,1062.269999999999,"InChI=1S/C54H117N4.3BrH/c1-10-13-16-19-22-25-28-31-34-37-40-43-49-56(4,5)52-46-55(47-53-57(6,7)50-44-41-38-35-32-29-26-23-20-17-14-11-2)48-54-58(8,9)51-45-42-39-36-33-30-27-24-21-18-15-12-3;;;/h10-54H2,1-9H3;3*1H/q+3;;;/p-3"
C12TAB,tensiometry,38.6,0.49,25,10.1021/la301220y,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.014,3.42e-06,1.853871964321762,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
C12TAB,tensiometry,39.0,,25,10.1021/la301220y,10.1021/la9904096,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.016,,1.7958800173440752,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
12-2-12,tensiometry,31.4,0.72,25,10.1021/la301220y,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.0009,2.31e-06,3.0457574905606752,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
12-2-12,tensiometry,32.4,,25,10.1021/la301220y,10.1021/la0003692,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.000967,,3.0145735259169983,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
12-2-12-2-12,tensiometry,,1.28,25,10.1021/la301220y,10.1021/la960230k,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],8e-05,1.29e-06,4.096910013008056,921.0119999999998,"InChI=1S/C45H98N3.3BrH/c1-9-12-15-18-21-24-27-30-33-36-39-46(4,5)42-44-48(8,41-38-35-32-29-26-23-20-17-14-11-3)45-43-47(6,7)40-37-34-31-28-25-22-19-16-13-10-2;;;/h9-45H2,1-8H3;3*1H/q+3;;;/p-3"
12-2-12-2-12,tensiometry,36.4,1.48,25,10.1021/la301220y,10.1016/S0021-9797(03)00694-5,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],6.500000000000001e-05,1.1100000000000002e-06,4.187086643357144,921.0119999999998,"InChI=1S/C45H98N3.3BrH/c1-9-12-15-18-21-24-27-30-33-36-39-46(4,5)42-44-48(8,41-38-35-32-29-26-23-20-17-14-11-3)45-43-47(6,7)40-37-34-31-28-25-22-19-16-13-10-2;;;/h9-45H2,1-8H3;3*1H/q+3;;;/p-3"
12-3-12-3-12,tensiometry,,1.47,25,10.1021/la301220y,10.1021/la990645g,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(CCCCCCCCCCCC)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],0.00014000000000000001,1.75e-06,3.853871964321762,949.0659999999997,"InChI=1S/C47H102N3.3BrH/c1-9-12-15-18-21-24-27-30-33-36-41-48(4,5)43-39-46-50(8,45-38-35-32-29-26-23-20-17-14-11-3)47-40-44-49(6,7)42-37-34-31-28-25-22-19-16-13-10-2;;;/h9-47H2,1-8H3;3*1H/q+3;;;/p-3"
12-6-12-6-12,tensiometry,,2.49,25,10.1021/la301220y,10.1021/la990645g,CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(CCCCCCCCCCCC)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],0.00028000000000000003,7e-07,3.5528419686577806,1033.2279999999994,"InChI=1S/C53H114N3.3BrH/c1-9-12-15-18-21-24-27-30-33-40-47-54(4,5)49-42-36-38-45-52-56(8,51-44-35-32-29-26-23-20-17-14-11-3)53-46-39-37-43-50-55(6,7)48-41-34-31-28-25-22-19-16-13-10-2;;;/h9-53H2,1-8H3;3*1H/q+3;;;/p-3"
3C8trisQ,conductometry,,,25,10.1021/la301220y,,CCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCC)CC[N+](C)(C)CCCCCCCC.[Br-].[Br-].[Br-],,,,809.7840000000003,"InChI=1S/C36H81N4.3BrH/c1-10-13-16-19-22-25-31-38(4,5)34-28-37(29-35-39(6,7)32-26-23-20-17-14-11-2)30-36-40(8,9)33-27-24-21-18-15-12-3;;;/h10-36H2,1-9H3;3*1H/q+3;;;/p-3"
3C10trisQ,conductometry,,,25,10.1021/la301220y,,CCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],0.0016,,2.795880017344075,893.9459999999998,"InChI=1S/C42H93N4.3BrH/c1-10-13-16-19-22-25-28-31-37-44(4,5)40-34-43(35-41-45(6,7)38-32-29-26-23-20-17-14-11-2)36-42-46(8,9)39-33-30-27-24-21-18-15-12-3;;;/h10-42H2,1-9H3;3*1H/q+3;;;/p-3"
3C12trisQ,conductometry,,,25,10.1021/la301220y,,CCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],0.000177,,3.7520267336381936,978.1079999999996,"InChI=1S/C48H105N4.3BrH/c1-10-13-16-19-22-25-28-31-34-37-43-50(4,5)46-40-49(41-47-51(6,7)44-38-35-32-29-26-23-20-17-14-11-2)42-48-52(8,9)45-39-36-33-30-27-24-21-18-15-12-3;;;/h10-48H2,1-9H3;3*1H/q+3;;;/p-3"
3C14trisQ,conductometry,,,25,10.1021/la301220y,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-].[Br-],0.000384,,3.415668775632469,1062.269999999999,"InChI=1S/C54H117N4.3BrH/c1-10-13-16-19-22-25-28-31-34-37-40-43-49-56(4,5)52-46-55(47-53-57(6,7)50-44-41-38-35-32-29-26-23-20-17-14-11-2)48-54-58(8,9)51-45-42-39-36-33-30-27-24-21-18-15-12-3;;;/h10-54H2,1-9H3;3*1H/q+3;;;/p-3"
