Surfactant,MW (g/mol),CMC mol/L,w.t.%,Surface tension CMC (mN/m),IFTb (mN/m),Contact angle (o),Foam stabilityc (%),Massd (ng),source_doi,reference_doi,SMILES,Temp_Celsius
C12-BHDM,641.98,0.000152,0.00976,28.88,0.041,44.9,22.23,122.64,10.1016/j.jiec.2012.01.040,,CCCCCCCCCCCCOCC(C[N+](C)(CC(COCCCCCCCCCCCC)O)C)O.COS(=O)([O-])=O,25.0
C12-TMDA,703.94,0.000232,0.0163,31.29,0.087,41.4,25.98,179.9,10.1016/j.jiec.2012.01.040,,CCCCCCCCCCCCOCC(C[N+](C)(CC(C[N+](C)(CC(COCCCCCCCCCCCC)O)C)O)C)O.[Cl-].[Cl-],25.0
C12-BADM,917.2,0.000312,0.0286,32.55,0.162,35.1,31.12,198.92,10.1016/j.jiec.2012.01.040,,CCCCCCCCCCCCOCC(C[N+](C)(CC(C[N+](C)(CC(C[N+](C)(CC(COCCCCCCCCCCCC)O)C)O)C)O)C)O.COS(=O)([O-])=O.[Cl-].[Cl-],25.0
