aveyard1998
beckett1963
brashier1968
burczyk2001
bury1953
carless1964
caskey1971
chevalier1991
corkhill1963
crook1963,
crook1964
crook1964,
dahanayake1984
eastoe1997
elworthy1959
elworthy1962
elworthy1964
gentle1995
kjellin2002
kwan1980
lange1971
li2001
liljekvist2000
matos1989
meguro1981
murphy1988
omar1997
rosen1964
rosen1974
rosen1982a
rosen1982b
rosen1984
rosen1988
rosen1991
rosen1996
rosen2001a
rosen2001b
semmler1999
shinoda1959
shinoda1972
tomasic1999
tori1963a
tori1963b
tsubone1990
varadaraj1991
venable1964
zhao1984
zhu1999
