identifier,pC20,CMC,AW_ST_CMC,SMILES,Temp_Celsius,source_doi,reference_doi,InChI,Molecular_Weight,Gamma_max,Area_min,pCMC
bis(C8GA),5.8,6.7e-05,28.36,CCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CCN(CCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,25,10.1016/j.jcis.2003.09.020,,"InChI=1S/C36H74N4O12/c1-3-5-7-9-11-13-19-39(21-15-17-37-35(51)33(49)31(47)29(45)27(43)25-41)23-24-40(20-14-12-10-8-6-4-2)22-16-18-38-36(52)34(50)32(48)30(46)28(44)26-42/h27-34,41-50H,3-26H2,1-2H3,(H,37,51)(H,38,52)/t27-,28-,29-,30-,31+,32+,33-,34-/m1/s1",755.0040000000004,2.58e-06,0.64,4.173925197299174
bis(C12GA),6.9,3.8e-06,31.55,CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,25,10.1016/j.jcis.2003.09.020,,"InChI=1S/C44H90N4O12/c1-3-5-7-9-11-13-15-17-19-21-27-47(29-23-25-45-43(59)41(57)39(55)37(53)35(51)33-49)31-32-48(28-22-20-18-16-14-12-10-8-6-4-2)30-24-26-46-44(60)42(58)40(56)38(54)36(52)34-50/h35-42,49-58H,3-34H2,1-2H3,(H,45,59)(H,46,60)/t35-,36-,37-,38-,39+,40+,41-,42-/m1/s1",867.2199999999988,2.52e-06,0.6599999999999999,5.42021640338319
bis(C12GH),6.6,5.2e-06,33.12,CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,25,10.1016/j.jcis.2003.09.020,,"InChI=1S/C46H94N4O14/c1-3-5-7-9-11-13-15-17-19-21-27-49(29-23-25-47-45(63)43(61)41(59)39(57)37(55)35(53)33-51)31-32-50(28-22-20-18-16-14-12-10-8-6-4-2)30-24-26-48-46(64)44(62)42(60)40(58)38(56)36(54)34-52/h35-44,51-62H,3-34H2,1-2H3,(H,47,63)(H,48,64)/t35-,36-,37-,38-,39+,40+,41-,42-,43+,44+/m0/s1",927.2719999999995,2.5099999999999997e-06,0.6599999999999999,5.2839966563652006
bis(C8LA),5.4,0.00013,32.89,CCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO)CCN(CCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,25,10.1016/j.jcis.2003.09.020,,"InChI=1S/C48H94N4O22/c1-3-5-7-9-11-13-19-51(21-15-17-49-45(69)39(65)37(63)43(29(57)25-53)73-47-41(67)35(61)33(59)31(27-55)71-47)23-24-52(20-14-12-10-8-6-4-2)22-16-18-50-46(70)40(66)38(64)44(30(58)26-54)74-48-42(68)36(62)34(60)32(28-56)72-48/h29-44,47-48,53-68H,3-28H2,1-2H3,(H,49,69)(H,50,70)/t29-,30-,31-,32-,33+,34+,35+,36+,37-,38-,39-,40-,41-,42-,43-,44-,47+,48+/m1/s1",1079.2859999999998,2.27e-06,0.73,3.886056647693163
bis(C12LA),6.3,8.9e-06,36.16,CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,25,10.1016/j.jcis.2003.09.020,,"InChI=1S/C56H110N4O22/c1-3-5-7-9-11-13-15-17-19-21-27-59(29-23-25-57-53(77)47(73)45(71)51(37(65)33-61)81-55-49(75)43(69)41(67)39(35-63)79-55)31-32-60(28-22-20-18-16-14-12-10-8-6-4-2)30-24-26-58-54(78)48(74)46(72)52(38(66)34-62)82-56-50(76)44(70)42(68)40(36-64)80-56/h37-52,55-56,61-76H,3-36H2,1-2H3,(H,57,77)(H,58,78)/t37-,38-,39-,40-,41+,42+,43+,44+,45-,46-,47-,48-,49-,50-,51-,52-,55+,56+/m1/s1",1191.5019999999995,2.2200000000000003e-06,0.75,5.050609993355088
