Surfactant,cmc (mmol/L),γmc(mN/m),pC20,cmc/C20,Γmax (mol cm-2),Amin (nm2),reference_doi,source_doi,T (K),method
C14DGPB,0.7,30.26,4.16,10.13,1.99e-10,0.835,,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
C12DGPB,4.75,28.36,3.69,23.41,1.45e-10,1.146,,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
C14DLPB,1.83,34.59,3.57,6.8,1.85e-10,0.898,,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
C12DLPB,4.89,27.42,3.68,23.865,1.37e-10,1.216,,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
C10DLPB,12.62,25.7,3.46,37.12,1.36e-10,1.224,,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
1a,2.82,38.98,3.41,7.3,1.28e-10,1.3,,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
MAL-C12,0.31,,4.4,,3.83e-10,0.43,10.1006/jcis.1996.0054,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
DEX9-C12,0.33,,4.0,,2.75e-10,0.6,10.1006/jcis.1996.0054,10.1016/j.colsurfa.2013.08.009,298.15,tensiometry
