identifier,AW_ST_CMC,Amin n=1 (nm2),ΔG0ads kJ mol-1.1,source_doi,reference_doi,Temp_Celsius,SMILES,CMC,Gamma_max,pCMC,Molecular_Weight,InChI
[C12im]2,35.5,1.21,-60.9,10.1016/j.jcis.2013.07.029,,25.0,CCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCC)(C[n+]1ccn(C)c1)C[n+]1ccn(C)c1.[Br-].[Br-],0.00011999999999999999,9.200000000000001e-07,3.9208187539523753,818.8210000000001,"InChI=1S/C39H70N4O4.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-37(44)46-33-39(31-42-29-27-40(3)35-42,32-43-30-28-41(4)36-43)34-47-38(45)26-24-22-20-18-16-14-12-10-8-6-2;;/h27-30,35-36H,5-26,31-34H2,1-4H3;2*1H/q+2;;/p-2"
[C14im]2,36.3,1.39,-68.0,10.1016/j.jcis.2013.07.029,,25.0,CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCC)(C[n+]1ccn(C)c1)C[n+]1ccn(C)c1.[Br-].[Br-],8.9e-05,8.000000000000001e-07,4.050609993355088,874.9289999999999,"InChI=1S/C43H78N4O4.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-27-29-41(48)50-37-43(35-46-33-31-44(3)39-46,36-47-34-32-45(4)40-47)38-51-42(49)30-28-26-24-22-20-18-16-14-12-10-8-6-2;;/h31-34,39-40H,5-30,35-38H2,1-4H3;2*1H/q+2;;/p-2"
[C16im]2,49.3,0.47,-48.2,10.1016/j.jcis.2013.07.029,,25.0,CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCC)(C[n+]1ccn(C)c1)C[n+]1ccn(C)c1.[Br-].[Br-],2.9e-05,2.5099999999999997e-06,4.5376020021010435,931.0369999999997,"InChI=1S/C47H86N4O4.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-45(52)54-41-47(39-50-37-35-48(3)43-50,40-51-38-36-49(4)44-51)42-55-46(53)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-2;;/h35-38,43-44H,5-34,39-42H2,1-4H3;2*1H/q+2;;/p-2"
