identifier,CMC,AW_ST_CMC,Gamma_max,Temp_Celsius,reference_doi,SMILES,source_doi,method,Molecular_Weight,InChI,Area_min,pCMC
C8(-)C8(+),0.00019,25.4,2.27e-06,20,,CCCCCC(CC)C[N+](C)(C)CCCOP(=O)([O-])OCC(CC)CCCC,10.1016/S0927-7757(03)00300-5,tensiometry,421.6030000000003,"InChI=1S/C22H48NO4P/c1-7-11-13-16-21(9-3)19-23(5,6)17-14-18-26-28(24,25)27-20-22(10-4)15-12-8-2/h21-22H,7-20H2,1-6H3",0.72,3.721246399047171
C8(-)C8(+)a,0.001,32.0,,20,10.1016/j.mencom.2007.03.009,CCCCCCCCOP(=O)([O-])OCCC[N+](C)(C)CCCCCCCC,10.1016/S0927-7757(03)00300-5,tensiometry,407.5760000000003,"InChI=1S/C21H46NO4P/c1-5-7-9-11-13-15-18-22(3,4)19-17-21-26-27(23,24)25-20-16-14-12-10-8-6-2/h5-21H2,1-4H3",,3.0
C8(-)C9(+),0.0007,25.9,2.26e-06,20,,CCCCCCCC[N+](C)(C)CCCOP(=O)([O-])OCC(CC)CCCC,10.1016/S0927-7757(03)00300-5,tensiometry,407.5760000000003,"InChI=1S/C21H46NO4P/c1-6-9-11-12-13-14-17-22(4,5)18-15-19-25-27(23,24)26-20-21(8-3)16-10-7-2/h21H,6-20H2,1-5H3",0.73,3.154901959985743
C8(-)C10(+),0.0002,25.3,2.34e-06,20,,CCCCCCCCCC[N+](C)(C)CCCOP(=O)([O-])OCC(CC)CCCC,10.1016/S0927-7757(03)00300-5,tensiometry,435.6300000000004,"InChI=1S/C23H50NO4P/c1-6-9-11-12-13-14-15-16-19-24(4,5)20-17-21-27-29(25,26)28-22-23(8-3)18-10-7-2/h23H,6-22H2,1-5H3",0.7,3.6989700043360187
C8(-)C12(+),0.00015,25.5,2.24e-06,20,,CCCCCCCCCCCC[N+](C)(C)CCCOP(=O)([O-])OCC(CC)CCCC,10.1016/S0927-7757(03)00300-5,tensiometry,463.6840000000005,"InChI=1S/C25H54NO4P/c1-6-9-11-12-13-14-15-16-17-18-21-26(4,5)22-19-23-29-31(27,28)30-24-25(8-3)20-10-7-2/h25H,6-24H2,1-5H3",0.74,3.8239087409443187
