AW_ST_CMC,pC20,Temp_Celsius,source_doi,reference_doi,SMILES,method,Molecular_Weight,InChI,CMC,pCMC,C20,Gamma_max,Area_min
34.8,5.6,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCSC[C@@H](O)[C@@H](O)[C@@H](O)CO,tensiometry,280.42999999999995,"InChI=1S/C13H28O4S/c1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h11-17H,2-10H2,1H3/t11-,12+,13-/m0/s1",0.00038,3.42021640338319,2.5118864315095823e-06,3.75e-06,0.4429
36.8,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCSC[C@@H](O)[C@@H](O)[C@@H](O)CO,tensiometry,308.48400000000004,"InChI=1S/C15H32O4S/c1-2-3-4-5-6-7-8-9-10-20-12-14(18)15(19)13(17)11-16/h13-19H,2-12H2,1H3/t13-,14+,15-/m0/s1",,,,,
,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCCCSC[C@@H](O)[C@@H](O)[C@@H](O)CO,tensiometry,336.5380000000001,"InChI=1S/C17H36O4S/c1-2-3-4-5-6-7-8-9-10-11-12-22-14-16(20)17(21)15(19)13-18/h15-21H,2-14H2,1H3/t15-,16+,17-/m0/s1",,,,,
30.0,3.25,20,10.1016/j.jcis.2004.01.020,,CCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,tensiometry,252.37599999999992,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10-,11+/m0/s1",0.018,1.744727494896694,0.0005623413251903491,2.5099999999999997e-06,0.6623
29.3,5.15,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,tensiometry,280.42999999999995,"InChI=1S/C13H28O4S/c1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h11-17H,2-10H2,1H3/t11-,12-,13+/m0/s1",0.0018,2.744727494896694,7.079457843841373e-06,3.9399999999999995e-06,0.4213
33.5,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,tensiometry,308.48400000000004,"InChI=1S/C15H32O4S/c1-2-3-4-5-6-7-8-9-10-20-12-14(18)15(19)13(17)11-16/h13-19H,2-12H2,1H3/t13-,14-,15+/m0/s1",,,,,
,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCCCSC[C@H](O)[C@H](O)[C@@H](O)CO,tensiometry,336.5380000000001,"InChI=1S/C17H36O4S/c1-2-3-4-5-6-7-8-9-10-11-12-22-14-16(20)17(21)15(19)13-18/h15-21H,2-14H2,1H3/t15-,16-,17+/m0/s1",,,,,
28.2,3.66,20,10.1016/j.jcis.2004.01.020,,CCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,tensiometry,252.37599999999995,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10+,11+/m0/s1",0.0116,1.9355420107730816,0.00021877616239495518,2.33e-06,0.7132999999999999
33.0,5.4,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,tensiometry,280.4299999999999,"InChI=1S/C13H28O4S/c1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h11-17H,2-10H2,1H3/t11-,12+,13+/m0/s1",0.00121,2.91721462968355,3.981071705534969e-06,3.59e-06,0.4631
28.2,5.4,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,tensiometry,308.484,"InChI=1S/C15H32O4S/c1-2-3-4-5-6-7-8-9-10-20-12-14(18)15(19)13(17)11-16/h13-19H,2-12H2,1H3/t13-,14+,15+/m0/s1",0.0004,3.3979400086720375,3.981071705534969e-06,3.63e-06,0.4573
,,20,10.1016/j.jcis.2004.01.020,,CCCCCCCCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,tensiometry,336.53800000000007,"InChI=1S/C17H36O4S/c1-2-3-4-5-6-7-8-9-10-11-12-22-14-16(20)17(21)15(19)13-18/h15-21H,2-14H2,1H3/t15-,16+,17+/m0/s1",,,,,
