no,n,R,n_SMILES,R_SMILES,SMILES
38,C4H9,C10H21,CCCC,CCCCCCCCCC,CCCCCCCCCCN1C=C[N+](COCCCCOC[N+]2=CN(CCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
39,C4H9,C11H23,CCCC,CCCCCCCCCCC,CCCCCCCCCCCN1C=C[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
40,C4H9,C12H25,CCCC,CCCCCCCCCCCC,CCCCCCCCCCCCN1C=C[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
41,C4H9,C14H29,CCCC,CCCCCCCCCCCCCC,CCCCCCCCCCCCCCN1C=C[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
42,C4H9,C16H33,CCCC,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCN1C=C[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
43,C5H11,CH3,CCCCC,C,CN1C=C[N+](COCCCCCOC[N+]2=CN(C)C=C2)=C1.[Cl-].[Cl-]
44,C5H11,C2H5,CCCCC,CC,CCN1C=C[N+](COCCCCCOC[N+]2=CN(CC)C=C2)=C1.[Cl-].[Cl-]
45,C5H11,C3H7,CCCCC,CCC,CCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCC)C=C2)=C1.[Cl-].[Cl-]
46,C5H11,C4H9,CCCCC,CCCC,CCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCC)C=C2)=C1.[Cl-].[Cl-]
47,C5H11,C5H11,CCCCC,CCCCC,CCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCC)C=C2)=C1.[Cl-].[Cl-]
48,C5H11,C6H13,CCCCC,CCCCCC,CCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCC)C=C2)=C1.[Cl-].[Cl-]
49,C5H11,C7H15,CCCCC,CCCCCCC,CCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCC)C=C2)=C1.[Cl-].[Cl-]
50,C5H11,C8H17,CCCCC,CCCCCCCC,CCCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
51,C5H11,C9H19,CCCCC,CCCCCCCCC,CCCCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
52,C5H11,C10H21,CCCCC,CCCCCCCCCC,CCCCCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
53,C5H11,C11H23,CCCCC,CCCCCCCCCCC,CCCCCCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
54,C5H11,C12H25,CCCCC,CCCCCCCCCCCC,CCCCCCCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
55,C5H11,C14H29,CCCCC,CCCCCCCCCCCCCC,CCCCCCCCCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
56,C5H11,C16H33,CCCCC,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCN1C=C[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
57,C6H13,CH3,CCCCCC,C,CN1C=C[N+](COCCCCCCOC[N+]2=CN(C)C=C2)=C1.[Cl-].[Cl-]
58,C6H13,C2H5,CCCCCC,CC,CCN1C=C[N+](COCCCCCCOC[N+]2=CN(CC)C=C2)=C1.[Cl-].[Cl-]
59,C6H13,C3H7,CCCCCC,CCC,CCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCC)C=C2)=C1.[Cl-].[Cl-]
60,C6H13,C4H9,CCCCCC,CCCC,CCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCC)C=C2)=C1.[Cl-].[Cl-]
61,C6H13,C5H11,CCCCCC,CCCCC,CCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCC)C=C2)=C1.[Cl-].[Cl-]
62,C6H13,C6H13,CCCCCC,CCCCCC,CCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCC)C=C2)=C1.[Cl-].[Cl-]
63,C6H13,C7H15,CCCCCC,CCCCCCC,CCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCC)C=C2)=C1.[Cl-].[Cl-]
64,C6H13,C8H17,CCCCCC,CCCCCCCC,CCCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
65,C6H13,C9H19,CCCCCC,CCCCCCCCC,CCCCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
66,C6H13,C10H21,CCCCCC,CCCCCCCCCC,CCCCCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
67,C6H13,C11H23,CCCCCC,CCCCCCCCCCC,CCCCCCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
68,C6H13,C12H25,CCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
69,C6H13,C14H29,CCCCCC,CCCCCCCCCCCCCC,CCCCCCCCCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
70,C6H13,C16H33,CCCCCC,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCN1C=C[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCCCCCCC)C=C2)=C1.[Cl-].[Cl-]
