no,n,R,-lgCMC,γCMC,Γ 106,A 1020,ΔGads,MIC (mM/L),Class,Temp_Celsius,source_doi,reference_doi
58,C6H13,C2H5,2.37,44.8,2.66,59,30.2,0.817,medium,20.0,10.1111/cbdd.12236,
59,C6H13,C3H7,2.45,42.6,2.59,62,30.9,0.712,medium,20.0,10.1111/cbdd.12236,
60,C6H13,C4H9,2.54,39.4,2.53,65,31.5,0.669,medium,20.0,10.1111/cbdd.12236,
61,C6H13,C5H11,2.62,37.6,2.47,68,32.1,0.041,medium,20.0,10.1111/cbdd.12236,
62,C6H13,C6H13,2.71,36.3,2.41,71,32.6,0.077,medium,20.0,10.1111/cbdd.12236,
63,C6H13,C7H15,2.79,35.1,2.34,74,33.1,0.018,good,20.0,10.1111/cbdd.12236,
64,C6H13,C8H17,2.87,34.2,2.28,77,33.6,0.009,good,20.0,10.1111/cbdd.12236,
65,C6H13,C9H19,2.95,33.3,2.22,80,34.0,0.017,good,20.0,10.1111/cbdd.12236,
66,C6H13,C10H21,3.07,32.2,2.15,83,34.4,0.004,good,20.0,10.1111/cbdd.12236,
67,C6H13,C11H23,3.2,31.2,2.09,86,34.8,0.015,good,20.0,10.1111/cbdd.12236,
68,C6H13,C12H25,3.29,30.3,2.03,89,35.2,0.029,medium,20.0,10.1111/cbdd.12236,
69,C6H13,C14H29,3.47,28.3,1.9,95,36.1,0.027,medium,20.0,10.1111/cbdd.12236,
70,C6H13,C16H33,3.65,26.4,1.77,101,37.1,0.1,medium,20.0,10.1111/cbdd.12236,
