Surfactant,cmc (M),γcmc (mN/m),pC20 (M),cmc/pC20,Γcmc 10^10 (mol cm 2),Amin (nm2),Temp_Celsius,source_doi,reference_doi,SMILES,method
2a,0.397,40.93,4.994,0.079,1.207,1.38,25.0,10.1080/01932691.2014.986737,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCCCC)CC1.[Cl-].[Cl-],tensiometry
2b,0.403,36.54,5.218,0.077,1.789,0.93,25.0,10.1080/01932691.2014.986737,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC)CC1.[Cl-].[Cl-],tensiometry
2c,1.003,37.64,3.934,0.255,1.742,0.95,25.0,10.1080/01932691.2014.986737,,CCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCC)CC1.[Cl-].[Cl-],tensiometry
12-2-12,1.1,40.0,,,2.31,0.72,25.0,10.1080/01932691.2014.986737,10.1016/S0021-9797(03)00694-5,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],
C12TAB,15.0,39.0,,,3.42,0.49,25.0,10.1080/01932691.2014.986737,10.1016/S0021-9797(03)00694-5,CCCCCCCCCCCC[N+](C)(C)C.[Br-],
