identifier,AW_ST_CMC,pC20,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,pCMC,C20,Molecular_Weight,InChI
2a,40.93,4.994,1.38,25.0,10.1080/01932691.2014.986737,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCCCC)CC1.[Cl-].[Cl-],tensiometry,0.000397,3.401209493236885,1.01391138573668e-05,866.3299999999988,"InChI=1S/C50H106N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-43-53(3,4)47-49(55)45-51-39-41-52(42-40-51)46-50(56)48-54(5,6)44-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h49-50,55-56H,7-48H2,1-6H3;2*1H/q+2;;/p-2"
2b,36.54,5.218,0.93,25.0,10.1080/01932691.2014.986737,,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC)CC1.[Cl-].[Cl-],tensiometry,0.00040300000000000004,3.3946949538588904,6.0534087475391365e-06,810.2219999999992,"InChI=1S/C46H98N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39-49(3,4)43-45(51)41-47-35-37-48(38-36-47)42-46(52)44-50(5,6)40-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h45-46,51-52H,7-44H2,1-6H3;2*1H/q+2;;/p-2"
2c,37.64,3.934,0.95,25.0,10.1080/01932691.2014.986737,,CCCCCCCCCCCC[N+](C)(C)CC(O)CN1CCN(CC(O)C[N+](C)(C)CCCCCCCCCCCC)CC1.[Cl-].[Cl-],tensiometry,0.001003,2.998699066979582,0.00011641260294104908,698.0059999999999,"InChI=1S/C38H82N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-41(3,4)35-37(43)33-39-27-29-40(30-28-39)34-38(44)36-42(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h37-38,43-44H,7-36H2,1-6H3;2*1H/q+2;;/p-2"
12-2-12,40.0,,0.72,25.0,10.1080/01932691.2014.986737,10.1016/S0021-9797(03)00694-5,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,0.0011,2.958607314841775,,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
C12TAB,39.0,,0.49,25.0,10.1080/01932691.2014.986737,10.1016/S0021-9797(03)00694-5,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,0.015,1.8239087409443189,,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
