Surfactant,cmc surface tension mM,cmc surface tension err mM,cmc conductivity mM,cmc conductivity err mM,β,γ mN/m,γ err mN/m,106Γmax n=2 mol/m2,106Γmax n=2 err mol/m2,106Γmax n=3 mol/m2,106Γmax n=3 err mol/m2,Amin n=2 nm2,Amin n=2 err nm2,Amin n=3 nm2,Amin n=3 err nm2,C20 × 10−4,cmc/C20,ΔG°mic kJ/mol,ΔG°mic err kJ/mol,ΔG°ads kJ/mol,ΔG°ads err kJ/mol,TK (°C),source_doi,reference_doi,SMILES,Temp_Celsius
9,0.72,0.01,1.37,0.01,0.75,30.0,0.3,2.53,0.06,1.69,0.04,0.65,0.02,0.98,0.02,1.23,5.8,−32.85,0.22,−49.67,0.57,22.0,10.1021/la300920p,,OC(CCCCCCCCCC)CN1C=C[N+](CCC[N+]2=CN(CC(CCCCCCCCCC)O)C=C2)=C1.[Br-].[Br-],25.0
10,0.76,0.01,1.4,0.01,0.7,28.1,0.3,2.33,0.09,1.55,0.06,0.71,0.03,1.07,0.04,0.77,9.8,−31.63,0.21,−50.63,0.82,23.3,10.1021/la300920p,,OC(CCCCCCCCCC)CN1C=C[N+](CCCC[N+]2=CN(CC(CCCCCCCCCC)O)C=C2)=C1.[Br-].[Br-],25.0
11,1.02,0.01,1.47,0.01,0.84,32.9,0.4,2.29,0.05,1.52,0.03,0.72,0.02,1.09,0.02,1.9,5.3,−35.21,0.22,−52.46,0.56,20.5,10.1021/la300920p,,OC(CCCCCCCCCC)CN1C=C[N+](CCCCC[N+]2=CN(CC(CCCCCCCCCC)O)C=C2)=C1.[Br-].[Br-],25.0
12,1.07,0.01,1.57,0.01,0.74,35.2,0.2,2.98,0.02,1.98,0.02,0.55,0.01̀,0.83,0.01,3.63,2.9,−32.31,0.19,−44.78,0.2,28.6,10.1021/la300920p,,OC(CCCCCCCCCC)CN1C=C[N+](CCCCCC[N+]2=CN(CC(CCCCCCCCCC)O)C=C2)=C1.[Br-].[Br-],25.0
13,1.14,0.01,1.59,0.01,0.7,37.6,0.3,1.9,0.02,1.27,0.02,0.87,0.01,1.3,0.02,2.63,4.3,−31.14,0.18,−49.45,0.36,20.6,10.1021/la300920p,,OC(CCCCCCCCCC)CN1C=C[N+](CCCCCCCC[N+]2=CN(CC(CCCCCCCCCC)O)C=C2)=C1.[Br-].[Br-],25.0
