ref_num,ref_key
7,rosen1998
8,zana1991
9,de1998
10,kim1996
20,zana1995
29,song1996
30,dam1996
31,alami1993
32,zhao1998
33,frindi1994
34,devinsky1986
35,rosen1996
36,kim1996a
37,zhu1990
