identifier,CMC/ mmol/kg,source_doi,reference_doi,SMILES,Temp_Celsius
α-Smy.iPr,1.4,10.5650/jos.51.715,,CCCCCCCCCCCCC(S(=O)([O-])=O)C(OC(C)C)=O.[Na+],30.0
FC6-HC4,0.62,10.5650/jos.51.715,,O=C(C1=CC=C(C=C1)C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)F)F)F)F)F)F)C(CCCC)S(=O)([O-])=O.[Na+],30.0
