identifier,Pi_CMC,AW_ST_CMC,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,C20,Gamma_max,pCMC,pC20,Molecular_Weight,InChI
DTAB,36.4,36.4,0.44,30.0,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.015099999999999999,0.00525,3.77e-06,1.8210230527068305,2.279840696594043,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
CTAB,37.5,35.3,0.48,30.0,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.00098,0.00035,3.55e-06,3.0087739243075053,3.4559319556497243,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
12-2-12,42.2,30.6,0.88,30.0,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00082,0.00016,1.89e-06,3.0861861476162833,3.795880017344075,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
12-4-12,34.6,38.2,1.17,30.0,10.1007/s11743-011-1269-0,,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00125,0.00026000000000000003,1.4099999999999998e-06,2.9030899869919438,3.585026652029182,642.7340000000005,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
16-2-16,44.3,28.5,2.14,30.0,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],2.1000000000000002e-05,2.6e-07,7.8e-07,4.6777807052660805,6.585026652029182,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(3,4)37-38-40(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
16-4-16,29.8,43.0,2.25,30.0,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],3.7e-05,5.3e-06,7.7e-07,4.431798275933005,5.275724130399211,754.9500000000003,"InChI=1S/C40H86N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41(3,4)39-35-36-40-42(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
16-6-16,35.8,37.0,2.41,30.0,10.1007/s11743-011-1269-0,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],4.8e-05,1.4e-06,6.9e-07,4.318758762624412,5.853871964321762,783.0040000000001,"InChI=1S/C42H90N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35-39-43(3,4)41-37-33-34-38-42-44(5,6)40-36-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2"
