id,SMILES,Canonical SMILES fixed,Primary source
298,CCCCCCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],[Na+].CCCCCCCCCCCC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS([O-])(=O)=O)OC1OC,10.1016/s0008-6215(01)00077-5
423,CCCCCCCCCCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],[Na+].CCCCCCCCCCCCCCCC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS([O-])(=O)=O)OC1OC,10.1016/s0008-6215(01)00077-5
