no.,surfactant code,reported experimental log(CMC),ref,corrected experimental log(CMC),predicted log(CMC) eq3,predicted log(CMC) eq (Table 5),Temp_Celsius,ref_key,method
153,C11C(piperidino)C2SO3Na,-3.31,13,,-3.435,-3.892,40.0,huibers1997,
154,C11C(O)C2SO3Na,-2.174,13,,-2.419,-2.794,40.0,huibers1997,
155,C13C(OH)C2SO3Na,-2.839,13,,-3.106,-3.162,40.0,huibers1997,
156,C13C(OC)C2SO3Na,-3.472,13,,-3.343,-3.287,40.0,huibers1997,
157,C13C(OC3)C2SO3Na,-4.089,13,,-3.728,-4.131,40.0,huibers1997,
158,C13C(OC4)C2SO3Na,-4.458,13,,-3.928,-4.3,40.0,huibers1997,
159,C13C(O)C2SO3Na,-2.735,13,,-3.05,-3.257,40.0,huibers1997,
160,C15C(OH)C2SO3Na,-3.42,13,,-3.726,-3.633,40.0,huibers1997,
161,C10EOSO3Na,-1.787,13,,-1.766,-1.828,40.0,huibers1997,
162,C10C(C(OH))SO3Na,-1.787,13,,-1.463,-1.442,40.0,huibers1997,
163,C12C(C(OH))SO3Na,-2.432,13,,-2.052,-2.096,40.0,huibers1997,
164,C6CO2CSO3Na,-0.733,13,,-0.589,-0.6,40.0,huibers1997,
165,C8CO2CSO3Na,-1.144,13,,-1.202,-1.284,40.0,huibers1997,
166,C10CO2CSO3Na,-1.621,13,,-1.822,-1.837,40.0,huibers1997,
167,C14CO2C2SO3Na,-3.046,13,,-2.959,-2.746,40.0,huibers1997,
168,C10C(CO2C)SO3Na,-1.986,13,,-2.05,-1.697,40.0,huibers1997,
169,C12C(CO2C)SO3Na,-2.583,13,,-2.646,-2.378,40.0,huibers1997,
170,C14C(CO2C)SO3Na,-3.398,13,,-3.253,-2.971,40.0,huibers1997,
171,C14C(CO2C2)SO3Na,-3.509,13,,-2.964,-3.373,40.0,huibers1997,
172,C14C(CO2C3)SO3Na,-3.964,13,,-3.634,-3.41,40.0,huibers1997,
173,C16C(CO2C)SO3Na,-4,13,,-3.868,-3.545,40.0,huibers1997,
174,C16C(CO2C2)SO3Na,-4.106,13,,-4.055,-3.8,40.0,huibers1997,
175,C16C(CO2C3)SO3Na,-4.899,13,,-4.234,-3.967,40.0,huibers1997,
176,C16C(CO2C(C)C)SO3Na,-4.569,13,,-4.262,-3.945,40.0,huibers1997,
177,C4C(C2)CCO2CC(SO3Na)-CO2CC(C2)C4,-2.566,13,,-2.789,-2.62,40.0,huibers1997,
178,C4CO2C(SO3Na)CCO2C4,-0.663,13,,-0.875,-0.86,40.0,huibers1997,
179,C5CO2C(SO3Na)CCO2C5,-1.239,13,,-1.325,-1.692,40.0,huibers1997,
180,C6CO2C(SO3Na)CCO2C6,-1.817,13,,-1.816,-1.889,40.0,huibers1997,
181,C8CO2C(SO3Na)CCO2C8,-3.131,13,,-2.767,-2.778,40.0,huibers1997,
