Compound,CMC (M),γIT (mN/m),πCMC (mN/m),γCMC (mN/m),dc/ dlogC,Γmax (mol cm-2),Amin (A ̊ 2),ΔGmic (kJ mol-1),ΔGads (kJ mol-1),PC20 (M),Emulsification power sec,source_doi,reference_doi,SMILES,Temp_Celsius,method
E9N8,2.82e-05,4,35.3,37,-8.45,1.14e-10,146.042,-25.96,-29.07,-6.1,460,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCC)=O)CCCN(CCCCCCCC)CCC[N+](C)(CCCOC(CCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
E9N6,5.96e-05,4,33.3,39,-7.5882,1.02e-10,162.628,-24.11,-27.37,-5.73,336,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCC)=O)CCCN(CCCCCC)CCC[N+](C)(CCCOC(CCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
E9N5,0.000282,4,36.3,36,-6.9405,9.34e-11,177.804,-20.26,-24.14,-5.7,229,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCC)=O)CCCN(CCCCC)CCC[N+](C)(CCCOC(CCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
E9N4,0.000708,4,34.3,38,-6.4896,8.73e-11,190.159,-17.97,-21.9,-5.31,216,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCC)=O)CCCN(CCCC)CCC[N+](C)(CCCOC(CCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
E11N8,1.78e-05,4,36.3,36,-8.8031,1.18e-10,140.184,-27.1,-30.17,-6.3,452,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCCCC)=O)CCCN(CCCCCCCC)CCC[N+](C)(CCCOC(CCCCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
E11N6,4.47e-05,4,34.3,38,-8.1225,1.09e-10,151.93,-24.82,-27.96,-5.83,262,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCCCC)=O)CCCN(CCCCCC)CCC[N+](C)(CCCOC(CCCCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
E11N5,0.00015,4,37.3,35,-7.0199,9.45e-11,175.793,-21.82,-25.77,-6.2,201,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCCCC)=O)CCCN(CCCCC)CCC[N+](C)(CCCOC(CCCCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
E11N4,0.000447,3,35.3,37,-6.7328,9.06e-11,183.29,-19.11,-23.01,-5.61,178,10.1007/s11743-015-1749-8,,C[N+](C)(CCCOC(CCCCCCCCCCC)=O)CCCN(CCCC)CCC[N+](C)(CCCOC(CCCCCCCCCCC)=O)C.[Cl-].[Cl-],25.0,tensiometry
