compound,cmc (mmol/dm3),γcmc (mN/m),Γcmc (10^6 mol/m2),Acmc (nm2/mol),pC20,Foam 0 min (mL),Foam 10 min (min),Foam stability V10min/V0minx100% (%),SMILES,Temp_Celsius,source_doi,reference_doi,method
3a,3.54,33.2,1.78,0.93,3.03,212,85,40,O=C(CCCCCCCCC)N[N+](C)(C)CCC[N+](C)(C)NC(CCCCCCCCC)=O.[Br-].[Br-],25.0,10.5650/jos.59.647,,tensiometry
3b,2.34,34.0,2.02,0.82,3.15,251,223,89,O=C(CCCCCCCCCCC)N[N+](C)(C)CCC[N+](C)(C)NC(CCCCCCCCCCC)=O.[Br-].[Br-],25.0,10.5650/jos.59.647,,tensiometry
3c,1.41,37.5,2.16,0.77,3.25,260,239,92,O=C(CCCCCCCCCCCCC)N[N+](C)(C)CCC[N+](C)(C)NC(CCCCCCCCCCCCC)=O.[Br-].[Br-],25.0,10.5650/jos.59.647,,tensiometry
3d,1.25,38.2,1.96,0.84,3.59,235,195,83,O=C(CCCCCCCCCCCCCCC)N[N+](C)(C)CCC[N+](C)(C)NC(CCCCCCCCCCCCCCC)=O.[Br-].[Br-],25.0,10.5650/jos.59.647,,tensiometry
C12H25CONH(CH3)3N+I-(4b),5.01,39.0,2.31,0.72,2.49,170,59,35,CCCCCCCCCCCCC(=O)N[N+](C)(C)C.[I-],25.0,10.5650/jos.59.647,,tensiometry
