identifier,pC20,AW_ST_CMC,CMC,SMILES,reference_doi,Temp_Celsius,source_doi,method,InChI,Molecular_Weight,Area_min,Gamma_max,C20,pCMC
MELA-10,3.06,40.3,0.00332,CCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C23H45NO11/c1-3-4-5-6-7-8-9-10-17(29)24(2)11-14(27)18(30)22(15(28)12-25)35-23-21(33)20(32)19(31)16(13-26)34-23/h14-16,18-23,25-28,30-33H,3-13H2,1-2H3/t14-,15+,16+,18+,19-,20-,21+,22+,23-/m0/s1",511.6090000000002,0.504,3.29e-06,0.0008709635899560805,2.4788619162959638
MELA-12,4.02,37.2,0.000447,CCCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C25H49NO11/c1-3-4-5-6-7-8-9-10-11-12-19(31)26(2)13-16(29)20(32)24(17(30)14-27)37-25-23(35)22(34)21(33)18(15-28)36-25/h16-18,20-25,27-30,32-35H,3-15H2,1-2H3/t16-,17+,18+,20+,21-,22-,23+,24+,25-/m0/s1",539.6630000000002,0.499,3.32e-06,9.549925860214369e-05,3.3496924768680634
MELA-14,4.87,37.0,6.76e-05,CCCCCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C27H53NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-21(33)28(2)15-18(31)22(34)26(19(32)16-29)39-27-25(37)24(36)23(35)20(17-30)38-27/h18-20,22-27,29-32,34-37H,3-17H2,1-2H3/t18-,19+,20+,22+,23-,24-,25+,26+,27-/m0/s1",567.7170000000003,0.508,3.2599999999999997e-06,1.3489628825916533e-05,4.170053304058364
MELA-16,5.46,36.5,1.75e-05,CCCCCCCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C29H57NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-23(35)30(2)17-20(33)24(36)28(21(34)18-31)41-29-27(39)26(38)25(37)22(19-32)40-29/h20-22,24-29,31-34,36-39H,3-19H2,1-2H3/t20-,21+,22+,24+,25-,26-,27+,28+,29-/m0/s1",595.7710000000005,0.49400000000000005,3.36e-06,3.467368504525317e-06,4.756961951313706
MELA-18,5.95,35.7,5.62e-06,CCCCCCCCCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C31H61NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(37)32(2)19-22(35)26(38)30(23(36)20-33)43-31-29(41)28(40)27(39)24(21-34)42-31/h22-24,26-31,33-36,38-41H,3-21H2,1-2H3/t22-,23+,24+,26+,27-,28-,29+,30+,31-/m0/s1",623.8250000000006,0.499,3.32e-06,1.122018454301963e-06,5.250263684430939
MEGA-14,5.43,36.3,1.48e-05,CCCCCCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1007/s11743-999-0089-0,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C21H43NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-19(26)22(2)15-17(24)20(27)21(28)18(25)16-23/h17-18,20-21,23-25,27-28H,3-16H2,1-2H3/t17-,18+,20+,21+/m0/s1",405.5760000000001,0.37299999999999994,4.68e-06,3.7153522909717276e-06,4.8297382846050425
C12-MLA,4.45,36.7,0.000249,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.2001.7704,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C25H49NO11/c1-3-4-5-6-7-8-9-10-11-12-13-26(2)24(35)21(33)20(32)23(16(29)14-27)37-25-22(34)19(31)18(30)17(15-28)36-25/h16-23,25,27-34H,3-15H2,1-2H3/t16-,17-,18+,19+,20-,21-,22-,23-,25+/m1/s1",539.6630000000001,0.42,3.98e-06,3.5481338923357534e-05,3.6038006529042637
C14-MLA,5.4,35.7,3.64e-05,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1006/jcis.2001.7704,25,10.1007/s11743-001-0169-1,tensiometry,"InChI=1S/C27H53NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-28(2)26(37)23(35)22(34)25(18(31)16-29)39-27-24(36)21(33)20(32)19(17-30)38-27/h18-25,27,29-36H,3-17H2,1-2H3/t18-,19-,20+,21+,22-,23-,24-,25-,27+/m1/s1",567.7170000000002,0.43999999999999995,3.7599999999999996e-06,3.981071705534969e-06,4.438898616350944
