Surfactants,β,CMC surface tension × 104 mol·dm−3,CMC conductivity × 104 mol·dm−3,Γmax × 1010 mol·cm−2,Amin × 102 nm2,πCMC mN·m−1,γCMC mN·m−1,pC20,ΔGmic kJ·mol−1,ΔGad kJ·mol−1,source_doi,reference_doi,Temp_Celsius
C14MEA,0.421,7.29,7.6,1.63,101.7,40.0,32.0,4.225,−25.43,−27.88,10.1016/j.molliq.2018.10.100,,25.0
C14DEA,0.351,6.54,6.72,1.67,99.3,44.2,27.8,4.459,−24.54,−27.19,10.1016/j.molliq.2018.10.100,,25.0
C14TEA,0.34,5.86,6.03,1.73,95.9,42.4,29.6,4.32,−24.71,−27.16,10.1016/j.molliq.2018.10.100,,25.0
C14MEtA,0.202,2.84,2.92,1.97,84.3,41.2,30.8,4.494,−24.32,−26.41,10.1016/j.molliq.2018.10.100,,25.0
C14MDtA,0.141,12.6,12.97,1.88,88.6,38.7,33.3,3.752,−18.87,−20.93,10.1016/j.molliq.2018.10.100,,25.0
C14DEIPA,0.328,2.27,2.34,1.97,84.3,35.9,36.1,4.436,−27.61,−29.43,10.1016/j.molliq.2018.10.100,,25.0
C14EDIPA,0.312,2.2,2.26,1.57,105.9,34.3,37.7,4.468,−27.38,−29.56,10.1016/j.molliq.2018.10.100,,25.0
C14TIPA,0.251,2.13,2.19,1.88,88.6,34.3,37.7,4.438,−26.20,−28.03,10.1016/j.molliq.2018.10.100,,25.0
