SMILES,Temp_Celsius,source_doi,reference_doi,method,Molecular_Weight,InChI,CMC,pCMC,C20,AW_ST_CMC,Gamma_max,Area_min
CCCCCCCCCC[N+](C)(C)CC(O)COCC(C)(COCC(O)C[N+](C)(C)CCCCCCCCCC)COCC(O)C[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-].[Cl-],20.0,10.1007/s11743-007-1052-4,,tensiometry,953.7879999999992,"InChI=1S/C50H108N3O6.3ClH/c1-11-14-17-20-23-26-29-32-35-51(5,6)38-47(54)41-57-44-50(4,45-58-42-48(55)39-52(7,8)36-33-30-27-24-21-18-15-12-2)46-59-43-49(56)40-53(9,10)37-34-31-28-25-22-19-16-13-3;;;/h47-49,54-56H,11-46H2,1-10H3;3*1H/q+3;;;/p-3",0.000622,3.2062096153091812,6.1e-05,34.78,2.8e-06,0.593
CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCC(C)(COCC(O)C[N+](C)(C)CCCCCCCCCCCCCC)COCC(O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],20.0,10.1007/s11743-007-1052-4,,tensiometry,1122.1119999999983,"InChI=1S/C62H132N3O6.3ClH/c1-11-14-17-20-23-26-29-32-35-38-41-44-47-63(5,6)50-59(66)53-69-56-62(4,57-70-54-60(67)51-64(7,8)48-45-42-39-36-33-30-27-24-21-18-15-12-2)58-71-55-61(68)52-65(9,10)49-46-43-40-37-34-31-28-25-22-19-16-13-3;;;/h59-61,66-68H,11-58H2,1-10H3;3*1H/q+3;;;/p-3",0.000223,3.6516951369518393,2e-05,34.03,2.88e-06,0.5754
CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCC(C)(COCC(O)C[N+](C)(C)CCCCCCCCCCCCCCCCCC)COCC(O)C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],20.0,10.1007/s11743-007-1052-4,,tensiometry,1290.4359999999986,"InChI=1S/C74H156N3O6.3ClH/c1-11-14-17-20-23-26-29-32-35-38-41-44-47-50-53-56-59-75(5,6)62-71(78)65-81-68-74(4,69-82-66-72(79)63-76(7,8)60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-2)70-83-67-73(80)64-77(9,10)61-58-55-52-49-46-43-40-37-34-31-28-25-22-19-16-13-3;;;/h71-73,78-80H,11-70H2,1-10H3;3*1H/q+3;;;/p-3",4.9000000000000005e-05,4.309803919971486,5e-06,33.02,2.94e-06,0.565
