identifier,AW_ST_CMC,Pi_CMC,Area_min,SMILES,source_doi,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,CMC,pCMC,Gamma_max
A,33.14,38.86,,CCCCCCCCCCCC[N+]1(C)CCCC1=NCCc1ccccc1.[Br-],10.1016/j.molliq.2015.11.047,,25,tensiometry,451.5370000000001,"InChI=1S/C25H43N2.BrH/c1-3-4-5-6-7-8-9-10-11-15-22-27(2)23-16-19-25(27)26-21-20-24-17-13-12-14-18-24;/h12-14,17-18H,3-11,15-16,19-23H2,1-2H3;1H/q+1;/p-1",0.00287,2.5421181032660076,2.99e-06
B,33.92,38.08,,CCCCCCCCCCCC[N+]1(C)CCCC1=NCCO.[Br-],10.1016/j.molliq.2015.11.047,,25,tensiometry,391.43800000000005,"InChI=1S/C19H39N2O.BrH/c1-3-4-5-6-7-8-9-10-11-12-16-21(2)17-13-14-19(21)20-15-18-22;/h22H,3-18H2,1-2H3;1H/q+1;/p-1",0.0031,2.5086383061657274,2.84e-06
C,29.0,43.0,,CCCCCCCCCCCC[N+]1(C)CCCC1=Nc1ccc(O)cc1.[Br-],10.1016/j.molliq.2015.11.047,,25,tensiometry,439.482,"InChI=1S/C23H38N2O.BrH/c1-3-4-5-6-7-8-9-10-11-12-19-25(2)20-13-14-23(25)24-21-15-17-22(26)18-16-21;/h15-18H,3-14,19-20H2,1-2H3;1H",0.00263,2.580044251510242,3.13e-06
A,,,0.56,CCCCCCCCCCCC[N+]1(C)CCCC1=NCCc1ccccc1.[Br-],10.1016/j.molliq.2015.11.047,,25,conductometry,451.5370000000001,"InChI=1S/C25H43N2.BrH/c1-3-4-5-6-7-8-9-10-11-15-22-27(2)23-16-19-25(27)26-21-20-24-17-13-12-14-18-24;/h12-14,17-18H,3-11,15-16,19-23H2,1-2H3;1H/q+1;/p-1",0.0027,2.5686362358410126,
B,,,0.58,CCCCCCCCCCCC[N+]1(C)CCCC1=NCCO.[Br-],10.1016/j.molliq.2015.11.047,,25,conductometry,391.43800000000005,"InChI=1S/C19H39N2O.BrH/c1-3-4-5-6-7-8-9-10-11-12-16-21(2)17-13-14-19(21)20-15-18-22;/h22H,3-18H2,1-2H3;1H/q+1;/p-1",0.00304,2.517126416391246,
C,,,0.53,CCCCCCCCCCCC[N+]1(C)CCCC1=Nc1ccc(O)cc1.[Br-],10.1016/j.molliq.2015.11.047,,25,conductometry,439.482,"InChI=1S/C23H38N2O.BrH/c1-3-4-5-6-7-8-9-10-11-12-19-25(2)20-13-14-23(25)24-21-15-17-22(26)18-16-21;/h15-18H,3-14,19-20H2,1-2H3;1H",0.0025499999999999997,2.593459819566045,
