Surfactant,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,InChI,Molecular_Weight,CMC,pCMC
12Q1COOH,35.2,25,10.1016/j.colsurfa.2016.08.020,,CCCCCCCCCCCC[N+](C)(C)CC(=O)O.[Br-],"InChI=1S/C16H33NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-17(2,3)15-16(18)19;/h4-15H2,1-3H3;1H",352.3569999999999,0.0037,2.431798275933005
12Q2OH,32.4,25,10.1016/j.colsurfa.2016.08.020,,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],"InChI=1S/C16H36NO.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-17(2,3)15-16-18;/h18H,4-16H2,1-3H3;1H/q+1;/p-1",338.3739999999999,0.011300000000000001,1.9469215565165803
12Q2OCO1Q12,30.8,25,10.1016/j.colsurfa.2016.08.020,,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"InChI=1S/C33H70N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-28-34(3,4)30-27-33(36)37-32-31-35(5,6)29-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2",686.7430000000006,0.00092,3.036212172654445
