identifier,AW_ST_CMC,pC20,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,Gamma_max,pCMC,C20,Molecular_Weight,InChI
I,,,,35.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.001512,,2.8204482088348124,,689.894,"InChI=1S/C38H70N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-39(3,4)33-37(41)43-35-27-29-36(30-28-35)44-38(42)34-40(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-34H2,1-6H3;2*1H/q+2;;/p-2"
I,,,,40.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.001635,,2.7864822430036953,,689.894,"InChI=1S/C38H70N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-39(3,4)33-37(41)43-35-27-29-36(30-28-35)44-38(42)34-40(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-34H2,1-6H3;2*1H/q+2;;/p-2"
II,,,,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.00019700000000000002,,3.705533773838407,,746.0019999999997,"InChI=1S/C42H78N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-43(3,4)37-41(45)47-39-31-33-40(34-32-39)48-42(46)38-44(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-38H2,1-6H3;2*1H/q+2;;/p-2"
II,,,,25.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.000249,,3.6038006529042637,,746.0019999999997,"InChI=1S/C42H78N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-43(3,4)37-41(45)47-39-31-33-40(34-32-39)48-42(46)38-44(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-38H2,1-6H3;2*1H/q+2;;/p-2"
II,,,,30.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.000285,,3.54515513999149,,746.0019999999997,"InChI=1S/C42H78N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-43(3,4)37-41(45)47-39-31-33-40(34-32-39)48-42(46)38-44(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-38H2,1-6H3;2*1H/q+2;;/p-2"
II,,,,35.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.000301,,3.5214335044061564,,746.0019999999997,"InChI=1S/C42H78N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-43(3,4)37-41(45)47-39-31-33-40(34-32-39)48-42(46)38-44(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-38H2,1-6H3;2*1H/q+2;;/p-2"
II,,,,40.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.000325,,3.4881166390211256,,746.0019999999997,"InChI=1S/C42H78N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-43(3,4)37-41(45)47-39-31-33-40(34-32-39)48-42(46)38-44(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-38H2,1-6H3;2*1H/q+2;;/p-2"
III,,,,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.0009459999999999999,,3.024108863598207,,717.9479999999999,"InChI=1S/C40H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-41(3,4)33-39(43)45-35-37-27-29-38(30-28-37)36-46-40(44)34-42(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-36H2,1-6H3;2*1H/q+2;;/p-2"
III,,,,25.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.001131,,2.946537395074545,,717.9479999999999,"InChI=1S/C40H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-41(3,4)33-39(43)45-35-37-27-29-38(30-28-37)36-46-40(44)34-42(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-36H2,1-6H3;2*1H/q+2;;/p-2"
III,,,,30.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.0012729999999999998,,2.8951715963463447,,717.9479999999999,"InChI=1S/C40H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-41(3,4)33-39(43)45-35-37-27-29-38(30-28-37)36-46-40(44)34-42(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-36H2,1-6H3;2*1H/q+2;;/p-2"
III,,,,35.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.0013779999999999999,,2.860750782428393,,717.9479999999999,"InChI=1S/C40H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-41(3,4)33-39(43)45-35-37-27-29-38(30-28-37)36-46-40(44)34-42(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-36H2,1-6H3;2*1H/q+2;;/p-2"
III,,,,40.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.0014190000000000001,,2.848017604542526,,717.9479999999999,"InChI=1S/C40H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-41(3,4)33-39(43)45-35-37-27-29-38(30-28-37)36-46-40(44)34-42(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-36H2,1-6H3;2*1H/q+2;;/p-2"
IV,,,,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.000178,,3.749579997691106,,774.0559999999996,"InChI=1S/C44H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-45(3,4)37-43(47)49-39-41-31-33-42(34-32-41)40-50-44(48)38-46(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-40H2,1-6H3;2*1H/q+2;;/p-2"
IV,,,,25.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.00019,,3.721246399047171,,774.0559999999996,"InChI=1S/C44H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-45(3,4)37-43(47)49-39-41-31-33-42(34-32-41)40-50-44(48)38-46(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-40H2,1-6H3;2*1H/q+2;;/p-2"
IV,,,,30.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.000203,,3.692503962086787,,774.0559999999996,"InChI=1S/C44H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-45(3,4)37-43(47)49-39-41-31-33-42(34-32-41)40-50-44(48)38-46(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-40H2,1-6H3;2*1H/q+2;;/p-2"
IV,,,,35.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.000229,,3.640164517660112,,774.0559999999996,"InChI=1S/C44H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-45(3,4)37-43(47)49-39-41-31-33-42(34-32-41)40-50-44(48)38-46(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-40H2,1-6H3;2*1H/q+2;;/p-2"
IV,,,,40.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.00023799999999999998,,3.623423042943488,,774.0559999999996,"InChI=1S/C44H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-45(3,4)37-43(47)49-39-41-31-33-42(34-32-41)40-50-44(48)38-46(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-40H2,1-6H3;2*1H/q+2;;/p-2"
