Compound,T (oC),CMC (mM),pi_cmc (mN m-1),Pc20 (M/L),Γmax 10^-11,Amin,SMILES,source_doi,reference_doi
G-2,25,1.431,31,4.7,8.151,203.7,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-2,40,0.415,29,5.1,7.093,234.09,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-2,55,0.38,27,5.6,6.773,245.13,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-6,25,0.389,32,5.1,3.784,438.73,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-6,40,0.371,30,5.4,3.819,434.75,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-6,55,0.342,27,5.5,3.387,490.26,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-12,25,0.38,29,5.2,6.404,259.26,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCCCCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-12,40,0.361,28,5.3,6.274,264.64,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCCCCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
G-12,55,0.322,24,5.4,6.772,275.16,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCCCCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCCC.[Br-].[Br-],10.1016/j.jiec.2015.02.011,
