identifier,SMILES,CMC/ mmol/kg,γCMC mN/m,Temp_Celsius,source_doi,reference_doi,method
DAC,CCCCCCCCCCCC[NH3+].[Cl-],15.0,29.1,25.0,10.1006/jcis.1994.1186,,tensiometry
DMAC,CCCCCCCCCCCC[NH2+]C.[Cl-],15.0,33.3,25.0,10.1006/jcis.1994.1186,,tensiometry
DDAC,CCCCCCCCCCCC[NH+](C)C.[Cl-],16.4,38.2,25.0,10.1006/jcis.1994.1186,,tensiometry
DTAC,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],22.8,44.5,25.0,10.1006/jcis.1994.1186,,tensiometry
