identifier,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
H0.9.33,32,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCC(=O)N(CCOCCOCCOC)CCOCCOCCOC,0.00502,2.2992962828549808,463.65600000000046,"InChI=1S/C24H49NO7/c1-4-5-6-7-8-9-10-11-24(26)25(12-14-29-20-22-31-18-16-27-2)13-15-30-21-23-32-19-17-28-3/h4-23H2,1-3H3"
H0.9.44,29,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCC(=O)N(CCOCCOCCOCCOC)CCOCCOCCOCCOC,0.006409999999999999,2.1931419704811828,551.7620000000005,"InChI=1S/C28H57NO9/c1-4-5-6-7-8-9-10-11-28(30)29(12-14-33-20-22-37-26-24-35-18-16-31-2)13-15-34-21-23-38-27-25-36-19-17-32-3/h4-27H2,1-3H3"
H0.11.22 1,27,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCCCC(=O)N(CCOCCOC)CCOCCOC,0.0004,3.3979400086720375,403.60400000000027,"InChI=1S/C22H45NO5/c1-4-5-6-7-8-9-10-11-12-13-22(24)23(14-16-27-20-18-25-2)15-17-28-21-19-26-3/h4-21H2,1-3H3"
H0.11.33,28,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCCCC(=O)N(CCOCCOCCOC)CCOCCOCCOC,0.0005099999999999999,3.2924298239020637,491.7100000000005,"InChI=1S/C26H53NO7/c1-4-5-6-7-8-9-10-11-12-13-26(28)27(14-16-31-22-24-33-20-18-29-2)15-17-32-23-25-34-21-19-30-3/h4-25H2,1-3H3"
H0.11.44,30,25.0,10.1016/S0040-4020(01)90499-5,,CCCCCCCCCCCC(=O)N(CCOCCOCCOCCOC)CCOCCOCCOCCOC,0.000245,3.6108339156354674,579.8160000000004,"InChI=1S/C30H61NO9/c1-4-5-6-7-8-9-10-11-12-13-30(32)31(14-16-35-22-24-39-28-26-37-20-18-33-2)15-17-36-23-25-40-29-27-38-21-19-34-3/h4-29H2,1-3H3"
F6.1.33,22,25.0,10.1016/S0040-4020(01)90499-5,,COCCOCCOCCN(CCOCCOCCOC)C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.00055,3.2596373105057563,669.472,"InChI=1S/C22H32F13NO7/c1-38-7-9-42-13-11-40-5-3-36(4-6-41-12-14-43-10-8-39-2)16(37)15-17(23,24)18(25,26)19(27,28)20(29,30)21(31,32)22(33,34)35/h3-15H2,1-2H3"
F8.1.33,19,25.0,10.1016/S0040-4020(01)90499-5,,COCCOCCOCCN(CCOCCOCCOC)C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.2e-05,4.920818753952375,769.4859999999995,"InChI=1S/C24H32F17NO7/c1-44-7-9-48-13-11-46-5-3-42(4-6-47-12-14-49-10-8-45-2)16(43)15-17(25,26)18(27,28)19(29,30)20(31,32)21(33,34)22(35,36)23(37,38)24(39,40)41/h3-15H2,1-2H3"
F10.1.33,22,25.0,10.1016/S0040-4020(01)90499-5,,COCCOCCOCCN(CCOCCOCCOC)C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3e-07,6.522878745280337,869.4999999999991,"InChI=1S/C26H32F21NO7/c1-50-7-9-54-13-11-52-5-3-48(4-6-53-12-14-55-10-8-51-2)16(49)15-17(27,28)18(29,30)19(31,32)20(33,34)21(35,36)22(37,38)23(39,40)24(41,42)25(43,44)26(45,46)47/h3-15H2,1-2H3"
