identifier,CMC (mM),AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,pCMC,Molecular_Weight,InChI
II-10-2,1.09,30.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00109,2.962573502059376,629.7950000000005,"InChI=1S/C32H66N2O5.2ClH/c1-7-9-11-13-15-17-19-21-23-32(37)39-27-25-34(5,6)29-30(35)28-33(3,4)24-26-38-31(36)22-20-18-16-14-12-10-8-2;;/h30,35H,7-29H2,1-6H3;2*1H/q+2;;/p-2"
II-12-2,0.082,32.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],tensiometry,8.2e-05,4.086186147616283,685.9030000000005,"InChI=1S/C36H74N2O5.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-36(41)43-31-29-38(5,6)33-34(39)32-37(3,4)28-30-42-35(40)26-24-22-20-18-16-14-12-10-8-2;;/h34,39H,7-33H2,1-6H3;2*1H/q+2;;/p-2"
II-14-2,0.021,30.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,2.1000000000000002e-05,4.6777807052660805,742.0110000000002,"InChI=1S/C40H82N2O5.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-40(45)47-35-33-42(5,6)37-38(43)36-41(3,4)32-34-46-39(44)30-28-26-24-22-20-18-16-14-12-10-8-2;;/h38,43H,7-37H2,1-6H3;2*1H/q+2;;/p-2"
II-16-2,,,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,,,798.1189999999998,"InChI=1S/C44H90N2O5.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-44(49)51-39-37-46(5,6)41-42(47)40-45(3,4)36-38-50-43(48)34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h42,47H,7-41H2,1-6H3;2*1H/q+2;;/p-2"
II-10-4,0.17,34.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCC(=O)OCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00017,3.769551078621726,671.8760000000004,"InChI=1S/C35H72N2O5.2ClH/c1-7-9-11-13-15-17-19-25-34(39)41-29-23-21-27-36(3,4)31-33(38)32-37(5,6)28-22-24-30-42-35(40)26-20-18-16-14-12-10-8-2;;/h33,38H,7-32H2,1-6H3;2*1H/q+2;;/p-2"
II-8-6,0.79,34.0,20,10.1007/s11743-000-0121-4,,CCCCCCCC(=O)OCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCOC(=O)CCCCCCC.[Cl-].[Cl-],tensiometry,0.00079,3.1023729087095586,671.8760000000004,"InChI=1S/C35H72N2O5.2ClH/c1-7-9-11-13-19-25-34(39)41-29-23-17-15-21-27-36(3,4)31-33(38)32-37(5,6)28-22-16-18-24-30-42-35(40)26-20-14-12-10-8-2;;/h33,38H,7-32H2,1-6H3;2*1H/q+2;;/p-2"
I-12-2,0.69,30.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Cl-],tensiometry,0.00069,3.161150909262745,321.933,"InChI=1S/C17H36NO2.ClH/c1-5-6-7-8-9-10-11-12-13-14-17(19)20-16-15-18(2,3)4;/h5-16H2,1-4H3;1H/q+1;/p-1"
II-12-2(amide),0.19,33.0,20,10.1007/s11743-000-0121-4,10.5650/JOS1996.46.747,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)CC(O)C[N+](C)(C)CCNC(=O)CCCCCCCCCCC.[Cl-].[Cl-],,0.00019,3.721246399047171,683.9350000000004,"InChI=1S/C36H74N4O3.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-36(43)38-29-31-40(5,6)33-34(41)32-39(3,4)30-28-37-35(42)26-24-22-20-18-16-14-12-10-8-2;;/h34,41H,7-33H2,1-6H3;2*1H"
I-12-2(amide),6.1,35.0,20,10.1007/s11743-000-0121-4,10.5650/JOS1996.46.747,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)C.[Cl-],,0.0060999999999999995,2.214670164989233,334.976,"InChI=1S/C18H38N2O.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-18(21)19-16-17-20(2,3)4;/h5-17H2,1-4H3;1H"
II-12,0.14,39.0,20,10.1007/s11743-000-0121-4,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],,0.00014000000000000001,3.853871964321762,555.8040000000005,"InChI=1S/C31H68N2O.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-32(3,4)29-31(34)30-33(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h31,34H,7-30H2,1-6H3;2*1H/q+2;;/p-2"
I-12,4.5,,20,10.1007/s11743-000-0121-4,978-0-471-83651-3,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry,0.0045,2.3467874862246565,263.89699999999993,"InChI=1S/C15H34N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
