identifier,CMC,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,pCMC,Molecular_Weight,InChI
IIIa,0.0006,29.2,20.0,10.1007/BF02638962,,CCCCCCCCOCC(COCCOCC(COCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],3.2218487496163566,638.7500000000005,"InChI=1S/C24H50O12S2.2Na/c1-3-5-7-9-11-13-15-31-19-23(35-37(25,26)27)21-33-17-18-34-22-24(36-38(28,29)30)20-32-16-14-12-10-8-6-4-2;;/h23-24H,3-22H2,1-2H3,(H,25,26,27)(H,28,29,30);;/q;2*+1/p-2"
IIIb,0.0015,32.0,20.0,10.1007/BF02638962,,CCCCCCCCOCC(COCCCCOCC(COCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],2.8239087409443187,666.8040000000003,"InChI=1S/C26H54O12S2.2Na/c1-3-5-7-9-11-13-17-33-21-25(37-39(27,28)29)23-35-19-15-16-20-36-24-26(38-40(30,31)32)22-34-18-14-12-10-8-6-4-2;;/h25-26H,3-24H2,1-2H3,(H,27,28,29)(H,30,31,32);;/q;2*+1/p-2"
IIIc,0.00018,32.5,20.0,10.1007/BF02638962,,CCCCCCCCOCC(COCCOCCOCCOCC(COCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],3.744727494896694,726.8559999999999,"InChI=1S/C28H58O14S2.2Na/c1-3-5-7-9-11-13-15-37-23-27(41-43(29,30)31)25-39-21-19-35-17-18-36-20-22-40-26-28(42-44(32,33)34)24-38-16-14-12-10-8-6-4-2;;/h27-28H,3-26H2,1-2H3,(H,29,30,31)(H,32,33,34);;/q;2*+1/p-2"
IIId,0.0003,41.8,20.0,10.1007/BF02638962,,CCCCCCCCOCC(COc1ccc(OCC(COCCCCCCCC)OS(=O)(=O)[O-])cc1)OS(=O)(=O)[O-].[Na+].[Na+],3.5228787452803374,686.7940000000002,"InChI=1S/C28H50O12S2.2Na/c1-3-5-7-9-11-13-19-35-21-27(39-41(29,30)31)23-37-25-15-17-26(18-16-25)38-24-28(40-42(32,33)34)22-36-20-14-12-10-8-6-4-2;;/h15-18,27-28H,3-14,19-24H2,1-2H3,(H,29,30,31)(H,32,33,34);;/q;2*+1/p-2"
IIIe,0.00017,42.0,20.0,10.1007/BF02638962,,CCCCCCCCOCC(COc1ccccc1OCC(COCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],3.769551078621726,686.7940000000002,"InChI=1S/C28H50O12S2.2Na/c1-3-5-7-9-11-15-19-35-21-25(39-41(29,30)31)23-37-27-17-13-14-18-28(27)38-24-26(40-42(32,33)34)22-36-20-16-12-10-8-6-4-2;;/h13-14,17-18,25-26H,3-12,15-16,19-24H2,1-2H3,(H,29,30,31)(H,32,33,34);;/q;2*+1/p-2"
IIIf,1.3e-05,27.0,20.0,10.1007/BF02638962,,CCCCCCCCCCOCC(COCCOCC(COCCCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],4.886056647693163,694.8580000000002,"InChI=1S/C28H58O12S2.2Na/c1-3-5-7-9-11-13-15-17-19-35-23-27(39-41(29,30)31)25-37-21-22-38-26-28(40-42(32,33)34)24-36-20-18-16-14-12-10-8-6-4-2;;/h27-28H,3-26H2,1-2H3,(H,29,30,31)(H,32,33,34);;/q;2*+1/p-2"
IIIg,0.0006,32.5,20.0,10.1007/BF02638962,,CCCCCCCCCCOCC(COCCCCOCC(COCCCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],3.2218487496163566,722.912,"InChI=1S/C30H62O12S2.2Na/c1-3-5-7-9-11-13-15-17-21-37-25-29(41-43(31,32)33)27-39-23-19-20-24-40-28-30(42-44(34,35)36)26-38-22-18-16-14-12-10-8-6-4-2;;/h29-30H,3-28H2,1-2H3,(H,31,32,33)(H,34,35,36);;/q;2*+1/p-2"
IIIh,3.2e-05,32.0,20.0,10.1007/BF02638962,,CCCCCCCCCCOCC(COCCOCCOCCOCC(COCCCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],4.494850021680094,782.9639999999997,"InChI=1S/C32H66O14S2.2Na/c1-3-5-7-9-11-13-15-17-19-41-27-31(45-47(33,34)35)29-43-25-23-39-21-22-40-24-26-44-30-32(46-48(36,37)38)28-42-20-18-16-14-12-10-8-6-4-2;;/h31-32H,3-30H2,1-2H3,(H,33,34,35)(H,36,37,38);;/q;2*+1/p-2"
IIIi,3.5e-05,38.8,20.0,10.1007/BF02638962,,CCCCCCCCCCOCC(COc1ccc(OCC(COCCCCCCCCCC)OS(=O)(=O)[O-])cc1)OS(=O)(=O)[O-].[Na+].[Na+],4.455931955649724,742.9019999999999,"InChI=1S/C32H58O12S2.2Na/c1-3-5-7-9-11-13-15-17-23-39-25-31(43-45(33,34)35)27-41-29-19-21-30(22-20-29)42-28-32(44-46(36,37)38)26-40-24-18-16-14-12-10-8-6-4-2;;/h19-22,31-32H,3-18,23-28H2,1-2H3,(H,33,34,35)(H,36,37,38);;/q;2*+1/p-2"
IIIj,3.5e-05,39.5,20.0,10.1007/BF02638962,,CCCCCCCCCCOCC(COc1ccccc1OCC(COCCCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],4.455931955649724,742.9019999999999,"InChI=1S/C32H58O12S2.2Na/c1-3-5-7-9-11-13-15-19-23-39-25-29(43-45(33,34)35)27-41-31-21-17-18-22-32(31)42-28-30(44-46(36,37)38)26-40-24-20-16-14-12-10-8-6-4-2;;/h17-18,21-22,29-30H,3-16,19-20,23-28H2,1-2H3,(H,33,34,35)(H,36,37,38);;/q;2*+1/p-2"
,0.0082,39.5,25.0,10.1007/BF02638962,978-0-471-83651-3,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.0861861476162833,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1"
,0.00023,,50.0,10.1007/BF02638962,978-0-471-83651-3,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.638272163982407,372.54699999999997,"InChI=1S/C18H38O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22-23(19,20)21;/h2-18H2,1H3,(H,19,20,21);/q;+1/p-1"
