Compound,Structure,n_b,CMC [mM],γ_CMC [mN/m],-ΔGo_CMC [KJ/mol],-ΔGo_CMC/PO,Temp,Surfactant_Type,source_doi,Note,SMILES,Temp_Celsius,reference_doi,method
2a,image,5,0.148,38.7,21.84,,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS([O-])(=O)=O.[Na+],25,,tensiometry
2b,image,9,0.053,38.1,24.38,,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS([O-])(=O)=O.[Na+],25,,tensiometry
2c,image,13,0.013,38.3,27.86,0.75,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS([O-])(=O)=O.[Na+],25,,tensiometry
3a,image,5,0.287,38.2,20.2,,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],25,,tensiometry
3b,image,9,0.102,38.1,22.63,,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],25,,tensiometry
3c,image,13,0.036,38.2,25.34,0.64,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],25,,tensiometry
6a,image,5,0.17,40.4,21.49,,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS([O-])(=O)=O.[Na+],25,,tensiometry
7a,image,5,0.395,39.9,18.39,,25,anionic,10.1007/s11743-005-346-2,structure of the major compound in a mixture,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-].[Na+],25,,tensiometry
