identifier,source_doi,reference_doi,method,SMILES,CMC,Temp_Celsius,pCMC,Molecular_Weight,InChI
T4,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCO)O[Si](C)(C)C,4.6e-05,10.0,4.337242168318426,456.8010000000004,"InChI=1S/C18H44O7Si3/c1-26(2,3)24-28(7,25-27(4,5)6)18-8-10-20-12-14-22-16-17-23-15-13-21-11-9-19/h19H,8-18H2,1-7H3"
T4,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCO)O[Si](C)(C)C,2.2e-05,25.0,4.657577319177793,456.8010000000004,"InChI=1S/C18H44O7Si3/c1-26(2,3)24-28(7,25-27(4,5)6)18-8-10-20-12-14-22-16-17-23-15-13-21-11-9-19/h19H,8-18H2,1-7H3"
T5,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,5.9999999999999995e-05,10.0,4.221848749616356,500.8540000000005,"InChI=1S/C20H48O8Si3/c1-29(2,3)27-31(7,28-30(4,5)6)20-8-10-22-12-14-24-16-18-26-19-17-25-15-13-23-11-9-21/h21H,8-20H2,1-7H3"
T5,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,2.8e-05,25.0,4.552841968657781,500.8540000000005,"InChI=1S/C20H48O8Si3/c1-29(2,3)27-31(7,28-30(4,5)6)20-8-10-22-12-14-24-16-18-26-19-17-25-15-13-23-11-9-21/h21H,8-20H2,1-7H3"
T6,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,0.0001,10.0,4.0,544.9070000000006,"InChI=1S/C22H52O9Si3/c1-32(2,3)30-34(7,31-33(4,5)6)22-8-10-24-12-14-26-16-18-28-20-21-29-19-17-27-15-13-25-11-9-23/h23H,8-22H2,1-7H3"
T6,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,6.1e-05,25.0,4.214670164989233,544.9070000000006,"InChI=1S/C22H52O9Si3/c1-32(2,3)30-34(7,31-33(4,5)6)22-8-10-24-12-14-26-16-18-28-20-21-29-19-17-27-15-13-25-11-9-23/h23H,8-22H2,1-7H3"
T7,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,0.00015,10.0,3.8239087409443187,588.9600000000005,"InChI=1S/C24H56O10Si3/c1-35(2,3)33-37(7,34-36(4,5)6)24-8-10-26-12-14-28-16-18-30-20-22-32-23-21-31-19-17-29-15-13-27-11-9-25/h25H,8-24H2,1-7H3"
T7,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,7.000000000000001e-05,25.0,4.154901959985743,588.9600000000005,"InChI=1S/C24H56O10Si3/c1-35(2,3)33-37(7,34-36(4,5)6)24-8-10-26-12-14-28-16-18-30-20-22-32-23-21-31-19-17-29-15-13-27-11-9-25/h25H,8-24H2,1-7H3"
T8,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,0.00011999999999999999,10.0,3.9208187539523753,633.0130000000004,"InChI=1S/C26H60O11Si3/c1-38(2,3)36-40(7,37-39(4,5)6)26-8-10-28-12-14-30-16-18-32-20-22-34-24-25-35-23-21-33-19-17-31-15-13-29-11-9-27/h27H,8-26H2,1-7H3"
T8,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,9.4e-05,25.0,4.026872146400302,633.0130000000004,"InChI=1S/C26H60O11Si3/c1-38(2,3)36-40(7,37-39(4,5)6)26-8-10-28-12-14-30-16-18-32-20-22-34-24-25-35-23-21-33-19-17-31-15-13-29-11-9-27/h27H,8-26H2,1-7H3"
T9,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,0.00016,10.0,3.795880017344075,677.0660000000003,"InChI=1S/C28H64O12Si3/c1-41(2,3)39-43(7,40-42(4,5)6)28-8-10-30-12-14-32-16-18-34-20-22-36-24-26-38-27-25-37-23-21-35-19-17-33-15-13-31-11-9-29/h29H,8-28H2,1-7H3"
T9,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,0.00015,25.0,3.8239087409443187,677.0660000000003,"InChI=1S/C28H64O12Si3/c1-41(2,3)39-43(7,40-42(4,5)6)28-8-10-30-12-14-32-16-18-34-20-22-36-24-26-38-27-25-37-23-21-35-19-17-33-15-13-31-11-9-29/h29H,8-28H2,1-7H3"
