identifier,Temp_Celsius,source_doi,reference_doi,SMILES,Temp_Celsius.1,CMC,pCMC,Molecular_Weight,InChI
3a,40,10.1016/S0008-6215(01)00077-5,,CCCCCCCC(=O)N[C@H]1C(OC)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.[Na+],40.0,0.025,1.6020599913279623,421.44400000000013,"InChI=1S/C15H29NO9S.Na/c1-3-4-5-6-7-8-11(17)16-12-14(19)13(18)10(25-15(12)23-2)9-24-26(20,21)22;/h10,12-15,18-19H,3-9H2,1-2H3,(H,16,17)(H,20,21,22);/q;+1/p-1/t10-,12-,13-,14-,15?;/m1./s1"
3b,40,10.1016/S0008-6215(01)00077-5,,CCCCCCCCCCCC(=O)N[C@H]1C(OC)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.[Na+],40.0,0.0017,2.769551078621726,477.55200000000013,"InChI=1S/C19H37NO9S.Na/c1-3-4-5-6-7-8-9-10-11-12-15(21)20-16-18(23)17(22)14(29-19(16)27-2)13-28-30(24,25)26;/h14,16-19,22-23H,3-13H2,1-2H3,(H,20,21)(H,24,25,26);/q;+1/p-1/t14-,16-,17-,18-,19?;/m1./s1"
3c,40,10.1016/S0008-6215(01)00077-5,,CCCCCCCCCCCCCCCC(=O)N[C@H]1C(OC)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.[Na+],40.0,0.00011999999999999999,3.9208187539523753,533.6600000000002,"InChI=1S/C23H45NO9S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-19(25)24-20-22(27)21(26)18(33-23(20)31-2)17-32-34(28,29)30;/h18,20-23,26-27H,3-17H2,1-2H3,(H,24,25)(H,28,29,30);/q;+1/p-1/t18-,20-,21-,22-,23?;/m1./s1"
