identifier,AW_ST_CMC,Pi_CMC,Area_min,pC20,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,CMC,pCMC,Gamma_max
10a,40.15,32.35,0.89,3.52,10.1007/s13738-021-02247-3,CCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCOCC1.[I-],,25.0,tensiometry,525.5160000000003,"InChI=1S/C22H43N3O3.HI/c1-4-5-6-7-8-9-10-11-12-13-18-25(2,3)23-21(26)14-15-22(27)24-16-19-28-20-17-24;/h4-20H2,1-3H3;1H",0.0008900000000000001,3.050609993355087,1.87e-06
11a,38.12,34.28,0.86,3.83,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCOCC1.[I-],,25.0,tensiometry,553.5700000000004,"InChI=1S/C24H47N3O3.HI/c1-4-5-6-7-8-9-10-11-12-13-14-15-20-27(2,3)25-23(28)16-17-24(29)26-18-21-30-22-19-26;/h4-22H2,1-3H3;1H",0.00061,3.214670164989233,1.9299999999999997e-06
12a,36.5,35.9,0.77,4.15,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCOCC1.[I-],,25.0,tensiometry,581.6240000000003,"InChI=1S/C26H51N3O3.HI/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-29(2,3)27-25(30)18-19-26(31)28-20-23-32-24-21-28;/h4-24H2,1-3H3;1H",0.00037,3.431798275933005,2.1400000000000003e-06
10b,38.91,33.49,0.84,3.67,10.1007/s13738-021-02247-3,CCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCCCC1.[I-],,25.0,tensiometry,523.5440000000003,"InChI=1S/C23H45N3O2.HI/c1-4-5-6-7-8-9-10-11-12-16-21-26(2,3)24-22(27)17-18-23(28)25-19-14-13-15-20-25;/h4-21H2,1-3H3;1H",0.0004,3.3979400086720375,1.98e-06
11b,36.45,35.95,0.81,3.93,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCCCC1.[I-],,25.0,tensiometry,551.5980000000004,"InChI=1S/C25H49N3O2.HI/c1-4-5-6-7-8-9-10-11-12-13-14-18-23-28(2,3)26-24(29)19-20-25(30)27-21-16-15-17-22-27;/h4-23H2,1-3H3;1H",0.00028000000000000003,3.5528419686577806,2.06e-06
12b,34.6,37.8,0.74,4.29,10.1007/s13738-021-02247-3,CCCCCCCCCCCCCCCC[N+](C)(C)NC(=O)CCC(=O)N1CCCCC1.[I-],,25.0,tensiometry,579.6520000000003,"InChI=1S/C27H53N3O2.HI/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-20-25-30(2,3)28-26(31)21-22-27(32)29-23-18-17-19-24-29;/h4-25H2,1-3H3;1H",0.00019,3.721246399047171,2.25e-06
