identifier,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,Gamma_max,Area_min,pCMC,Molecular_Weight,InChI
DDTEABr,39.0,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],0.011,2.87e-06,0.579,1.958607314841775,350.42899999999986,"InChI=1S/C18H40N.BrH/c1-5-9-10-11-12-13-14-15-16-17-18-19(6-2,7-3)8-4;/h5-18H2,1-4H3;1H/q+1;/p-1"
DDTPABr,39.0,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],0.0085,2.38e-06,0.698,2.070581074285707,392.51,"InChI=1S/C21H46N.BrH/c1-5-9-10-11-12-13-14-15-16-17-21-22(18-6-2,19-7-3)20-8-4;/h5-21H2,1-4H3;1H/q+1;/p-1"
DDTBABr,35.5,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],0.0045,2.4500000000000003e-06,0.6779999999999999,2.3467874862246565,434.5910000000001,"InChI=1S/C24H52N.BrH/c1-5-9-13-14-15-16-17-18-19-20-24-25(21-10-6-2,22-11-7-3)23-12-8-4;/h5-24H2,1-4H3;1H/q+1;/p-1"
dDDABr,25.0,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],0.0012,2.3e-06,0.72,2.9208187539523753,406.5370000000001,"InChI=1S/C22H48N.BrH/c1-5-7-9-11-13-15-17-19-21-23(3,4)22-20-18-16-14-12-10-8-6-2;/h5-22H2,1-4H3;1H/q+1;/p-1"
dDDDABr,26.0,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],7.000000000000001e-05,2.8999999999999998e-06,0.57,4.154901959985743,462.64500000000027,"InChI=1S/C26H56N.BrH/c1-5-7-9-11-13-15-17-19-21-23-25-27(3,4)26-24-22-20-18-16-14-12-10-8-6-2;/h5-26H2,1-4H3;1H/q+1;/p-1"
d(DDA)EBr,31.5,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00085,2.1400000000000003e-06,0.77,3.070581074285707,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
d(DDA)PBr,34.0,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.001,2.02e-06,0.82,3.0,628.7070000000004,"InChI=1S/C31H68N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-28-32(3,4)30-27-31-33(5,6)29-26-24-22-20-18-16-14-12-10-8-2;;/h7-31H2,1-6H3;2*1H/q+2;;/p-2"
d(DDA)BBr,38.0,21.85,10.1016/j.colsurfa.2010.02.004,,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00117,1.76e-06,0.9440000000000001,2.9318141382538383,642.7340000000005,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
