AW_ST_CMC,SMILES,Surfactant_Type,Temp_Celsius,source_doi,reference_doi,InChI,Molecular_Weight
27.56,CCCCCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,"InChI=1S/C12H26O4/c1-2-3-4-5-7-14-9-11-16-12-10-15-8-6-13/h13H,2-12H2,1H3",234.33599999999993
31.34,CCCCCCOCCOCCOCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,"InChI=1S/C18H38O7/c1-2-3-4-5-7-20-9-11-22-13-15-24-17-18-25-16-14-23-12-10-21-8-6-19/h19H,2-18H2,1H3",366.4950000000002
32.55,CCCCCCOCCOCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,"InChI=1S/C16H34O6/c1-2-3-4-5-7-18-9-11-20-13-15-22-16-14-21-12-10-19-8-6-17/h17H,2-16H2,1H3",322.44200000000006
33.31,CCCCCCOCCOCCOCCOCCO,non-ionic,20,10.1016/0095-8522(62)90020-X,,"InChI=1S/C14H30O5/c1-2-3-4-5-7-16-9-11-18-13-14-19-12-10-17-8-6-15/h15H,2-14H2,1H3",278.38899999999995
