identifier,Temp_Celsius,Pi_CMC,ΓmaxX10−10 (mol cm−2),CMC/C20,source_doi,reference_doi,SMILES,Molecular_Weight,InChI,CMC,pCMC,Gamma_max,Area_min
FHPAO,20,32.5,0.37,165.8,10.1002/jsde.12437,,CCCCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1163.359999999999,"InChI=1S/C62H104N4O6.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-51-65(3,4)53-49-63-59(67)45-39-55-35-41-57(42-36-55)71-61(69)47-48-62(70)72-58-43-37-56(38-44-58)40-46-60(68)64-50-54-66(5,6)52-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-38,41-44,47-48H,7-34,39-40,45-46,49-54H2,1-6H3;2*1H/b48-47+;;",0.00041,3.3872161432802645,3.7e-07,4.459
FHPAO,40,31.5,0.34,136.8,10.1002/jsde.12437,,CCCCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1163.359999999999,"InChI=1S/C62H104N4O6.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-51-65(3,4)53-49-63-59(67)45-39-55-35-41-57(42-36-55)71-61(69)47-48-62(70)72-58-43-37-56(38-44-58)40-46-60(68)64-50-54-66(5,6)52-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-38,41-44,47-48H,7-34,39-40,45-46,49-54H2,1-6H3;2*1H/b48-47+;;",0.00028000000000000003,3.5528419686577806,3.4000000000000003e-07,4.9430000000000005
FHPAO,60,28.8,0.3,85.4,10.1002/jsde.12437,,CCCCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1163.359999999999,"InChI=1S/C62H104N4O6.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-51-65(3,4)53-49-63-59(67)45-39-55-35-41-57(42-36-55)71-61(69)47-48-62(70)72-58-43-37-56(38-44-58)40-46-60(68)64-50-54-66(5,6)52-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-38,41-44,47-48H,7-34,39-40,45-46,49-54H2,1-6H3;2*1H/b48-47+;;",0.00015,3.8239087409443187,3e-07,5.575
FHPAD,20,34.5,0.38,266.8,10.1002/jsde.12437,,CCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCC)cc2)cc1.[Br-].[Br-],938.9279999999997,"InChI=1S/C46H72N4O6.2BrH/c1-7-9-11-13-15-17-35-49(3,4)37-33-47-43(51)29-23-39-19-25-41(26-20-39)55-45(53)31-32-46(54)56-42-27-21-40(22-28-42)24-30-44(52)48-34-38-50(5,6)36-18-16-14-12-10-8-2;;/h19-22,25-28,31-32H,7-18,23-24,29-30,33-38H2,1-6H3;2*1H/b32-31+;;",0.00023,3.638272163982407,3.8e-07,4.359
FHPAD,40,33.1,0.34,204.9,10.1002/jsde.12437,,CCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCC)cc2)cc1.[Br-].[Br-],938.9279999999997,"InChI=1S/C46H72N4O6.2BrH/c1-7-9-11-13-15-17-35-49(3,4)37-33-47-43(51)29-23-39-19-25-41(26-20-39)55-45(53)31-32-46(54)56-42-27-21-40(22-28-42)24-30-44(52)48-34-38-50(5,6)36-18-16-14-12-10-8-2;;/h19-22,25-28,31-32H,7-18,23-24,29-30,33-38H2,1-6H3;2*1H/b32-31+;;",0.00013000000000000002,3.886056647693163,3.4000000000000003e-07,4.8180000000000005
FHPAD,60,30.9,0.32,176.2,10.1002/jsde.12437,,CCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCC)cc2)cc1.[Br-].[Br-],938.9279999999997,"InChI=1S/C46H72N4O6.2BrH/c1-7-9-11-13-15-17-35-49(3,4)37-33-47-43(51)29-23-39-19-25-41(26-20-39)55-45(53)31-32-46(54)56-42-27-21-40(22-28-42)24-30-44(52)48-34-38-50(5,6)36-18-16-14-12-10-8-2;;/h19-22,25-28,31-32H,7-18,23-24,29-30,33-38H2,1-6H3;2*1H/b32-31+;;",8.999999999999999e-05,4.045757490560675,3.2e-07,5.252999999999999
FHPAH,20,35.2,0.39,247.4,10.1002/jsde.12437,,CCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1051.1439999999993,"InChI=1S/C54H88N4O6.2BrH/c1-7-9-11-13-15-17-19-21-23-25-43-57(3,4)45-41-55-51(59)37-31-47-27-33-49(34-28-47)63-53(61)39-40-54(62)64-50-35-29-48(30-36-50)32-38-52(60)56-42-46-58(5,6)44-26-24-22-20-18-16-14-12-10-8-2;;/h27-30,33-36,39-40H,7-26,31-32,37-38,41-46H2,1-6H3;2*1H/b40-39+;;",0.00011,3.958607314841775,3.9e-07,4.302
FHPAH,40,34.5,0.35,322.3,10.1002/jsde.12437,,CCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1051.1439999999993,"InChI=1S/C54H88N4O6.2BrH/c1-7-9-11-13-15-17-19-21-23-25-43-57(3,4)45-41-55-51(59)37-31-47-27-33-49(34-28-47)63-53(61)39-40-54(62)64-50-35-29-48(30-36-50)32-38-52(60)56-42-46-58(5,6)44-26-24-22-20-18-16-14-12-10-8-2;;/h27-30,33-36,39-40H,7-26,31-32,37-38,41-46H2,1-6H3;2*1H/b40-39+;;",8.999999999999999e-05,4.045757490560675,3.5e-07,4.7410000000000005
FHPAH,60,33.0,0.32,323.6,10.1002/jsde.12437,,CCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCc1ccc(OC(=O)/C=C/C(=O)Oc2ccc(CCC(=O)NCC[N+](C)(C)CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1051.1439999999993,"InChI=1S/C54H88N4O6.2BrH/c1-7-9-11-13-15-17-19-21-23-25-43-57(3,4)45-41-55-51(59)37-31-47-27-33-49(34-28-47)63-53(61)39-40-54(62)64-50-35-29-48(30-36-50)32-38-52(60)56-42-46-58(5,6)44-26-24-22-20-18-16-14-12-10-8-2;;/h27-30,33-36,39-40H,7-26,31-32,37-38,41-46H2,1-6H3;2*1H/b40-39+;;",7.000000000000001e-05,4.154901959985743,3.2e-07,5.209
