code,γcmc (mN m−1),Πcmc (mN m−1),pC20,Γmax (μmol m−2),Αmin (Å2),CMC/C20,ΔG0m (kJ/mol),ΔGa0ds (kJ/mol),source_doi,reference_doi,method
Si3-PG,25.2,47.3,5.69,2.78,59.7,61.7,-32.2,-49.2,10.1021/acs.jpcb.8b10727,,tensiometry
Et-Si3-PG,27.9,44.6,5.81,2.42,68.6,52.4,-33.2,-51.7,10.1021/acs.jpcb.8b10727,,tensiometry
Pro-Si3-PG,30.4,42.1,5.76,2.16,76.9,41.7,-33.5,-53.1,10.1021/acs.jpcb.8b10727,,tensiometry
But-Si3-PG,37.9,34.6,5.42,1.99,83.5,16.9,-33.8,-51.2,10.1021/acs.jpcb.8b10727,,tensiometry
Et2-Si3-PG,39.8,32.7,5.28,1.98,83.6,13.5,-33.6,-50.1,10.1021/acs.jpcb.8b10727,,tensiometry
Et3-Si3-PG,41.6,30.9,5.11,1.86,89.3,8.5,-33.7,-50.4,10.1021/acs.jpcb.8b10727,,tensiometry
Si4-PG,22.1,50.4,5.87,2.46,67.5,69.2,-32.9,-53.4,10.1021/acs.jpcb.8b10727,,tensiometry
