identifier,Temp_Celsius,AW_ST_CMC,pC20,SMILES,source_doi,reference_doi,InChI,Molecular_Weight,CMC,pCMC,Gamma_max,Area_min,C20
DMEAB,10,33.3,2.64,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C12H27NO.BrH/c1-2-3-4-5-6-7-8-9-10-13-11-12-14;/h13-14H,2-12H2,1H3;1H",282.26599999999996,0.039,1.408935392973501,1.4e-06,1.186,0.0022908676527677724
DMEAB,20,33.0,2.6,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C12H27NO.BrH/c1-2-3-4-5-6-7-8-9-10-13-11-12-14;/h13-14H,2-12H2,1H3;1H",282.26599999999996,0.037000000000000005,1.431798275933005,1.31e-06,1.2670000000000001,0.0025118864315095794
DMEAB,30,32.2,2.58,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C12H27NO.BrH/c1-2-3-4-5-6-7-8-9-10-13-11-12-14;/h13-14H,2-12H2,1H3;1H",282.26599999999996,0.035,1.4559319556497243,1.24e-06,1.339,0.0026302679918953813
DMEAB,40,31.0,2.55,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C12H27NO.BrH/c1-2-3-4-5-6-7-8-9-10-13-11-12-14;/h13-14H,2-12H2,1H3;1H",282.26599999999996,0.034,1.4685210829577449,1e-06,1.66,0.002818382931264455
DDEAB,10,29.2,2.7,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C14H31NO2.BrH/c1-2-3-4-5-6-7-8-9-10-15(11-13-16)12-14-17;/h16-17H,2-14H2,1H3;1H",326.31899999999996,0.019,1.7212463990471711,1.4299999999999999e-06,1.161,0.001995262314968879
DDEAB,20,29.0,2.67,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C14H31NO2.BrH/c1-2-3-4-5-6-7-8-9-10-15(11-13-16)12-14-17;/h16-17H,2-14H2,1H3;1H",326.31899999999996,0.017,1.7695510786217261,1.34e-06,1.239,0.0021379620895022326
DDEAB,30,29.0,2.64,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C14H31NO2.BrH/c1-2-3-4-5-6-7-8-9-10-15(11-13-16)12-14-17;/h16-17H,2-14H2,1H3;1H",326.31899999999996,0.0155,1.8096683018297086,1.25e-06,1.318,0.0022908676527677724
DDEAB,40,28.3,2.61,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C14H31NO2.BrH/c1-2-3-4-5-6-7-8-9-10-15(11-13-16)12-14-17;/h16-17H,2-14H2,1H3;1H",326.31899999999996,0.013999999999999999,1.853871964321762,1.01e-06,1.6440000000000001,0.002454708915685031
DTEAB,10,29.3,2.83,CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C16H36NO3.BrH/c1-2-3-4-5-6-7-8-9-10-17(11-14-18,12-15-19)13-16-20;/h18-20H,2-16H2,1H3;1H/q+1;/p-1",370.372,0.018000000000000002,1.744727494896694,1.68e-06,0.988,0.0014791083881682072
DTEAB,20,28.9,2.79,CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],10.1007/s11743-010-1180-0,,"InChI=1S/C16H36NO3.BrH/c1-2-3-4-5-6-7-8-9-10-17(11-14-18,12-15-19)13-16-20;/h18-20H,2-16H2,1H3;1H/q+1;/p-1",370.372,0.0165,1.7825160557860937,1.34e-06,1.239,0.0016218100973589297
