identifier,AW_ST_CMC,Area_min,Pi_CMC,source_doi,SMILES,reference_doi,Temp_Celsius,Molecular_Weight,InChI,CMC,pCMC,C20,pC20,Gamma_max
9,38.77,0.82,33.23,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0,742.7660000000004,"InChI=1S/C38H66N2O2.2BrH/c1-3-5-7-9-11-13-15-17-19-23-33-41-37-27-25-31-39(35-37)29-21-22-30-40-32-26-28-38(36-40)42-34-24-20-18-16-14-12-10-8-6-4-2;;/h25-28,31-32,35-36H,3-24,29-30,33-34H2,1-2H3;2*1H/q+2;;/p-2",0.00014000000000000001,3.853871964321762,3.9e-05,4.4089353929735005,2.0699999999999997e-06
10,37.25,0.89,34.75,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCOc1ccc[n+](CCCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0,756.7930000000003,"InChI=1S/C39H68N2O2.2BrH/c1-3-5-7-9-11-13-15-17-19-24-34-42-38-28-26-32-40(36-38)30-22-21-23-31-41-33-27-29-39(37-41)43-35-25-20-18-16-14-12-10-8-6-4-2;;/h26-29,32-33,36-37H,3-25,30-31,34-35H2,1-2H3;2*1H/q+2;;/p-2",0.00017,3.769551078621726,3.4e-05,4.468521082957745,1.8600000000000002e-06
11,37.83,0.9,34.13,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCOc1ccc[n+](CCCCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0,770.8200000000003,"InChI=1S/C40H70N2O2.2BrH/c1-3-5-7-9-11-13-15-17-21-25-35-43-39-29-27-33-41(37-39)31-23-19-20-24-32-42-34-28-30-40(38-42)44-36-26-22-18-16-14-12-10-8-6-4-2;;/h27-30,33-34,37-38H,3-26,31-32,35-36H2,1-2H3;2*1H/q+2;;/p-2",0.00019,3.721246399047171,4.2e-05,4.376750709602099,1.85e-06
12,41.64,0.61,30.36,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0,798.874,"InChI=1S/C42H74N2O2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-27-37-45-41-31-29-35-43(39-41)33-25-26-34-44-36-30-32-42(40-44)46-38-28-24-22-20-18-16-14-12-10-8-6-4-2;;/h29-32,35-36,39-40H,3-28,33-34,37-38H2,1-2H3;2*1H/q+2;;/p-2",2.7e-05,4.568636235841013,1.3000000000000001e-05,4.886056647693163,2.7e-06
13,39.6,0.63,32.4,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCCCOc1ccc[n+](CCCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0,812.901,"InChI=1S/C43H76N2O2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-28-38-46-42-32-30-36-44(40-42)34-26-25-27-35-45-37-31-33-43(41-45)47-39-29-24-22-20-18-16-14-12-10-8-6-4-2;;/h30-33,36-37,40-41H,3-29,34-35,38-39H2,1-2H3;2*1H/q+2;;/p-2",3.7e-05,4.431798275933005,1.4999999999999999e-05,4.823908740944319,2.62e-06
14,40.54,0.71,31.46,10.1016/j.jcis.2013.11.059,CCCCCCCCCCCCCCOc1ccc[n+](CCCCCC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],,25.0,826.9279999999999,"InChI=1S/C44H78N2O2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-29-39-47-43-33-31-37-45(41-43)35-27-23-24-28-36-46-38-32-34-44(42-46)48-40-30-26-22-20-18-16-14-12-10-8-6-4-2;;/h31-34,37-38,41-42H,3-30,35-36,39-40H2,1-2H3;2*1H/q+2;;/p-2",5e-05,4.301029995663981,2e-05,4.698970004336019,2.32e-06
