aveyard1988
hartley1938
williams1957
mohle1993
corkill1983b
rodriguez1995
lange1971
rosen1982b
dahanayake1986
lange1968
varjara1996
varadaraj1991a
corkill1983a
decastillo2000
götte1960
nave2000
mandru1972
amrhar1994
rosen1996126
varadaraj1991
kucharski1974
kjellin2002
eastoe1997
venable1964
varadaraj1992
rosen2001
william1957
rehfeld1967
zhao1984
meguro1959
zhu1998154
rosen1968
tori1963b
schick1965
hover1961
mysels1959
herrington1986
aveyard1998
gorski2001
bocker1989
corkill1964
crook1963
elworthy1962
klevens1948
skerjanc1999
lascaux1983
rosen1964
murphy1990
vijayendran1979
li2001
shinoda1961
dahanayake1984
götte1969
lianos1983
rosen1996
hayes1980
shinoda1964
mizushima1999
tori1963a
corkill1961
desai1992
mathis1980
lange1964
huisman1964
schick1964
elworthy1966
murphy1988
hikota1970
meguro1956
rosen1982a
zhu1999
voicu1994
flockhart1961
elworthy1964a
tanaka1991
meguro1981
beckett1963
omar1997
jobe1984
vanos1991
lange1965
corkill1966
lianos1982
matos1989
rosen1966124
kwan1980
swanson1998
burczyk2001
hermann1962132
greshman1957
sowada1994
mehrian1993
crook1964
zajac1997
rosen1991
tsubone2001
zhu1998
corkill1963a
shinoda1977
corkill1965
muzzalupo1995
shinoda1959
raston1947
zhu1985
miyagishi1989
ohta2003
nakano2002
varadaraj1991b
anacker1963
osugi1995
mukerjee1967
greiss1955
evans1956
balzer1993
chevalier1991
okuda1987
hudson1964
corkill1962
zhu1998128
gotte1960
evers1948
ohbu1998
downer1999
