Balzer, 1993
Meguro, 1981
Meguro, 1981
Meguro, 1981
Elworthy, 1964a
Elworthy, 1964a
Meguro, 1981
Meguro, 1981
Meguro, 1981
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1996
Shinoda, 1959
Corkill, 1964
Varadaraj, 1991b
Varadaraj, 1991b
Corkill, 1964
Elworthy, 1964a
Hudson, 1964
Eastoe, 1997
Corkill, 1964
Rosen, 1996
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 2001
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Rosen, 1991
Rosen, 1991
Rosen, 1991
Lange, 1965
Lange, 1965
Varadaraj, 1991b
Varadaraj, 1991b
Varadaraj, 1991b
Varadaraj, 1991b
Meguro, 1981
Meguro, 1981
Meguro, 1981
Corkill, 1964
Rosen, 1982a
Rosen, 1982a
Rosen, 1982a
Varadaraj, 1991b
Varadaraj, 1991b
Corkill, 1961
Rosen, 1996
Rosen, 1996
Meguro, 1981
Meguro, 1981
Meguro, 1981
Rosen, 1996
Meguro, 1981
Meguro, 1981
Meguro, 1981
Rosen, 1996
Rosen, 1996
Elworthy, 1962
Elworthy, 1962
Elworthy, 1962
Elworthy, 1962
Elworthy, 1962
Crook, 1963
Crook, 1963
Crook, 1963
Crook, 1963
Crook, 1963
Crook, 1963
Crook, 1964
Crook, 1964
Crook, 1964
Voicu, 1994
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Schick, 1965
Kucharski, 1974
Kucharski, 1974
Kucharski, 1974
Kucharski, 1974
Herrington, 1986
Herrington, 1986
Rosen, 1964
Hayes, 1980
Kjellin, 2002
Zhu, 1999
Zhu, 1999
Zhu, 1999
Zhu, 1999
Zhu, 1999
Zhu, 1999
Burczyk, 2001
Burczyk, 2001
Burczyk, 2001
Burczyk, 2001
Burczyk, 2001
Mathis, 1980
Mathis, 1980
Mathis, 1980
Matos, 1989
Matos, 1989
Matos, 1989
Matos, 1989
Tsubone, 2001
Tsubone, 2001
Tsubone, 2001
Tsubone, 2001
Tsubone, 2001
Shinoda, 1977
Shinoda, 1977
Shinoda, 1977
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Rosen, 1968
Varadaraj, 1992
Varadaraj, 1992
Dahanayake, 1986
Dahanayake, 1986
Rehfeld, 1967
Rehfeld, 1967
Lange, 1964
Greiss, 1955
Murphy, 1990
Zhu, 1998
Zhu, 1998
Greiss, 1955
Zhu, 1998
Rehfeld, 1967
Rehfeld, 1967
Rehfeld, 1967
Lange, 1968
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Dahanayake, 1986
Lange, 1964
Lange, 1964
Zhu, 1998
Li, 2001
Zhu, 1985
Zhu, 1985
Li, 2001
Venable, 1964
Rosen, 1982b
Rosen, 1982b
Rosen, 1982b
Rosen, 1982b
Rosen, 1982b
Rosen, 1982b
Rosen, 1982b
Rosen, 1982b
Rosen, 1982b
Tsubone, 2001
Tsubone, 2001
Lange, 1964
Lange, 1964
Lascaux, 1983
Williams, 1957
Williams, 1957
Williams, 1957
Zhu, 1998
Zhu, 1998
Zhu, 1998154
Beckett, 1963
Zhao, 1984
Dahanayake, 1984
Dahanayake, 1984
Dahanayake, 1984
Tori, 1963b
Dahanayake, 1984
Beckett, 1963
Zhao, 1984
Dahanayake, 1984
Dahanayake, 1984
Dahanayake, 1984
Rosen, 2001
Tori, 1963b
Beckett, 1963
Zhao, 1984
Beckett, 1963
Corkill, 1983a
Corkill, 1983b
Rosen, 1964
Rosen, 1982b
Mandru, 1972
Shinoda, 1959
Kwan, 1980
Kwan, 1980
Kwan, 1980
Li, 2001
Li, 2001
Li, 2001
Rosen, 1964
Zhu, 1999
Zhu, 1999
Zhu, 1999
Zhu, 1999
Zhu, 1999
Burczyk, 2001
Burczyk, 2001
Burczyk, 2001
Burczyk, 2001
Burczyk, 2001
Varadaraj, 1991b
