surfactant,cmc (M),method,γCMC (mN/m),C20 (M),10^6 Γ n=3 (mol/m2),10^6 Γ n=2 (mol/m2),Amin n=3 (nm2),Amin n=2 (nm2),α,α 298.15 K,Temp_Celsius,source_doi,reference_doi,SMILES
C10,0.00672,tensiometry,45.62,0.00252,0.9,1.35,1.85,1.23,,,25,10.1021/la3011212,,CCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC.[Cl-].[Cl-]
C12,0.00105,tensiometry,46.13,0.0004,0.84,1.26,1.98,1.32,,,25,10.1021/la3011212,,CCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC.[Cl-].[Cl-]
C14,0.00019,tensiometry,47.21,6.73E-05,0.63,0.95,2.62,1.75,,,25,10.1021/la3011212,,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC.[Cl-].[Cl-]
C16,3.80E-05,tensiometry,52.22,4.42E-05,0.47,0.71,3.53,2.35,,,25,10.1021/la3011212,,CCCCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
C10,0.00707,conductometry,,,,,,,0.4,,25,10.1021/la3011212,,CCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC.[Cl-].[Cl-]
C12,0.00103,conductometry,,,,,,,0.45,,25,10.1021/la3011212,,CCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC.[Cl-].[Cl-]
C14,0.000215,conductometry,,,,,,,0.55,,25,10.1021/la3011212,,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC.[Cl-].[Cl-]
C16,4.75E-05,conductometry,,,,,,,0.6,,25,10.1021/la3011212,,CCCCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
C10,,conductometry,,,,,,,,0.33,20,10.1021/la3011212,,CCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC.[Cl-].[Cl-]
C12,,conductometry,,,,,,,,0.41,20,10.1021/la3011212,,CCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC.[Cl-].[Cl-]
C14,,conductometry,,,,,,,,0.48,20,10.1021/la3011212,,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC.[Cl-].[Cl-]
C16,,conductometry,,,,,,,,0.5,20,10.1021/la3011212,,CCCCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-]
