Surfactant,Yielda,Yieldb,Solubility (mol/dm-3),103 cmc (mol/dm3),γcmc (mN/m),-[dγ /d log c]T (mN/m),106Γ (mol/m2),102a (nm2/molecule),source_doi,reference_doi,SMILES,Temp_Celsius
4-2,80,25,<2.4e-2,9.8,21,14,2.45,67,10.1006/jcis.2000.7037,,COCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOC,25
4-3,71,23,>3.6e-3,1.4,20.7,16.8,2.94,56,10.1006/jcis.2000.7037,,COCCOCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOCCOC,25
6-2,82,36,>6.7e-3,0.15,17.8,13.7,2.4,69,10.1006/jcis.2000.7037,,COCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOC,25
6-3,77,34,>1.3e-3,0.09,20.4,19,3.33,50,10.1006/jcis.2000.7037,,COCCOCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOCCOC,25
8-2,91,30,>6.4e-4,0.024,19,23.7,4.15,40,10.1006/jcis.2000.7037,,COCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOC,25
8-3,75,24,>5.8e-4,0.011,20.7,31.6,5.53,30,10.1006/jcis.2000.7037,,COCCOCCOCCOC(=O)NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)OCCOCCOCCOC,25
